物件ID,物件名称,"类型
专门用于前置物件判定
还有代码块类型筛选判断","子类型
专门用于自动建造判定",建筑背包分类,Entity的Icon,Entity的描述,纹理1,补充纹理,物件逻辑投影,"前置物件
0，可以放置在任意类型的前置物件上",物件是否可自动建造,物件上是否可建造,建造高度,行走矮边高,行走高边高,物件高边 ,通行方向,血量,死亡掉落配方ID,"技能作用类型
 0.未知类型
 1.玩家
 2.木头
 3.草
 4.石头
 5.建筑
 6.机器人
 7.怪物

",受击特效,受击音效,物件防御,掉落经验,物件等级,地形类型,是否有缓动效果,场景效果根锚点,照亮范围,玩家经过是否半透,身体大小(半径像素),不显示在代码块下拉中,代码界面中物品排序ID,属性控件,idle效果,死亡效果,代码库ID,是否是地块
2030071,#N/A,5,,4,ic0071Hsslf,黄色的石制立方体。,icob0071Hsslf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030072,#N/A,5,,4,ic0072Lsslf,蓝色的石制立方体。,icob0072Lsslf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030073,#N/A,5,,4,ic0073Hsslf,红色的石制立方体。,icob0073Hsslf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030074,#N/A,5,,4,ic0074Csslf,橙色的石制立方体。,icob0074Csslf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030075,#N/A,5,,4,ic0075Lsslf,绿色的石制立方体。,icob0075Lsslf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030076,#N/A,5,,4,ic0076Zsslf,紫色的石制立方体。,icob0076Zsslf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030077,#N/A,5,,4,ic0077Hsslf,黑色的石制立方体。,icob0077Hsslf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030078,#N/A,5,,4,ic0078Hsslf,灰色的石制立方体。,icob0078Hsslf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030079,#N/A,5,,4,ic0079Bsscf,白色的石制长方体。,icob0079Bsscf,,15,0,1,1,261,261,261,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030080,#N/A,5,,4,ic0080Hsscf,黄色的石制长方体。,icob0080Hsscf,,15,0,1,1,261,261,261,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030081,#N/A,5,,4,ic0081Lsscf,蓝色的石制长方体。,icob0081Lsscf,,15,0,1,1,261,261,261,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030082,#N/A,5,,4,ic0082Hsscf,红色的石制长方体。,icob0082Hsscf,,15,0,1,1,261,261,261,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030083,#N/A,5,,4,ic0083Csscf,橙色的石制长方体。,icob0083Csscf,,15,0,1,1,261,261,261,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030084,#N/A,5,,4,ic0084Lsscf,绿色的石制长方体。,icob0084Lsscf,,15,0,1,1,261,261,261,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030085,#N/A,5,,4,ic0085Zsscf,紫色的石制长方体。,icob0085Zsscf,,15,0,1,1,261,261,261,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030086,#N/A,5,,4,ic0086Hsscf,黑色的石制长方体。,icob0086Hsscf,,15,0,1,1,261,261,261,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030087,#N/A,5,,4,ic0087Hsscf,灰色的石制长方体。,icob0087Hsscf,,15,0,1,1,261,261,261,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030088,#N/A,5,,4,ic0088Bsslz,白色的石制立柱。,icob0088Bsslz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030089,#N/A,5,,4,ic0089Hsslz,黄色的石制立柱。,icob0089Hsslz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030090,#N/A,5,,4,ic0090Lsslz,蓝色的石制立柱。,icob0090Lsslz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030091,#N/A,5,,4,ic0091Hsslz,红色的石制立柱。,icob0091Hsslz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030092,#N/A,5,,4,ic0092Csslz,橙色的石制立柱。,icob0092Csslz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030093,#N/A,5,,4,ic0093Lsslz,绿色的石制立柱。,icob0093Lsslz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030094,#N/A,5,,4,ic0094Zsslz,紫色的石制立柱。,icob0094Zsslz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030095,#N/A,5,,4,ic0095Hsslz,黑色的石制立柱。,icob0095Hsslz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030096,#N/A,5,,4,ic0096Hsslz,灰色的石制立柱。,icob0096Hsslz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2105001,#N/A,5,,3,ic_usertable2_MuGong,制作木制产品的重要设备。,gnicob1000Mzgzt,,15;15,0,0,0,45,45,45,0,0;0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,1,10001,,,1002,
2105002,#N/A,5,,3,ic_userbox1_PuTongMu,简易木箱，可以储存一定量的物品。,gnicob1001Jymx,,15,0,0,0,60,60,60,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,3,10001,,,1002,
2105003,#N/A,5,,3,ic_userabout12_YuShuiSJQ,用于收集雨水的雨水收集器，不用再到处找水了。,gnicob1002Yssjq,,15;15,0,0,0,78,78,78,0,0;0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,4,10001,,,1002,
2105004,#N/A,5,,3,ic_userabout3_GongGaoP,能够展示一些信息的公告板。,gnicob1003Gsb,,15;15,0,0,0,112,112,112,0,0;0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,5,10001,,,1002,
2105005,#N/A,5,,3,ic_usercook3_GouHuo,可以用于烤肉。,gnicob1004Gh_0,,15,"7,17,16",0,0,30,30,30,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,2,10001,,,1002,
2105006,#N/A,5,,3,ic_usercook4_PengRenG,可以烹饪各种食物。,gnicob1005Prg_0,,15,0,0,0,48,48,48,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,6,10001,,,1002,
2105007,#N/A,5,,3,ic_usercook2_GaoJiPRG,可以高级食材。,gnicob1006Gjprg,,15,0,0,0,75,75,75,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,7,10001,,,1002,
2105008,#N/A,5,,3,ic_userbox2_JingZhiMu,能够装更多的东西。,gnicob1007Jzmx,,15,0,0,0,60,60,60,0,0,144,1015,5,frame_felling,woodHited,,,,,,,0,1,,,8,10001,,,1002,
2105009,#N/A,5,,3,ic_userbox3_JingZhiTie,防御力变强了，装的东西也变多了。,gnicob1008Jztx,,15,0,0,0,60,60,60,0,0,144,1015,5,frame_felling,woodHited,,,,,,,0,1,,,9,10001,,,1002,
2105010,#N/A,5,,3,ic_userbox4_JingZhiHeJin,给你的储物箱设置密码，别人无法打开。,gnicob1009Hjmmx,,15;15,0,0,0,68,68,68,0,0;0,144,1015,5,frame_felling,woodHited,,,,,,,0,1,,,10,10001,,,1002,
2105011,#N/A,5,,3,ic_usertable3_ShiGong,制作石制产品的设备。,gnicob1010Szgzt,,15;15,0,0,0,40,40,40,0,0;0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,11,10001,,,1002,
2105012,#N/A,5,,3,ic_usertable4_TieGong,制造铁质产品的重要设备。,gnicob1011Tzgzt,,15;15,0,0,0,40,40,40,0,0;0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,12,10001,,,1002,
2105013,#N/A,5,,3,ic_usertable1_JiXieGZT,制造金制品的重要设备。,gnicob1012Jxgzt,,15;15,0,0,0,78,78,78,0,0;0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,13,10001,,,1002,
2105014,#N/A,5,,3,ic_userabout11_TieZhen,可以合成基础铁器和修复物件。,gnicob1013Tz,,15,0,0,0,35,35,35,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,14,10001,,,1002,
2105015,#N/A,5,,3,ic_usertable5_ZhiYi,可以制作衣物。,gnicob1014Zyt,,15;15,0,0,0,56,56,56,0,0;0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,15,10001,,,1002,
2105016,#N/A,5,,3,ic_userforge2_ShiZhiRL,最基础的熔炉，但是没有它一切都无从谈起。,gnicob1015Sl_0,,15,0,0,0,45,45,45,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,16,10001,,,1002,
2105017,#N/A,5,,3,ic_userforge1_GangTieGaoLu,高炉，可以炼制铁锭，钢锭。,gnicob1016Gl_0,,15,0,0,0,75,75,75,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,17,10001,,,1002,
2105018,#N/A,5,,3,ic_userforge3_YMHeZILu,冶炼高炉，可以炼制合金锭。,gnicob1017Ymrl_0,,15;15,0,0,0,85,85,85,0,0;0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,18,10001,,,1002,
2105019,#N/A,5,,3,ic_userabout7_HuoLu,一个火炉，可以提供光源。,gnicob1018Hl_0,,15,0,0,0,115,115,115,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,19,10001,,,1002,
2105020,#N/A,5,,3,ic_userfarm4_SiYangC,基础的饲养设备，可以养殖大型动物。,gnicob1019Syc,,15,0,0,0,30,30,30,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,20,10001,,,1002,
2105021,#N/A,5,,3,ic_userfarm5_SiLiaoC,饲养小动物的饲养槽。,gnicob1020Slc,,15,0,0,0,18,18,18,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,21,10001,,,1002,
2105022,#N/A,5,,3,ic_userfarm6_FangShuiSLC,饲养小动物的防水饲养槽。,gnicob1021Fsslc,,15,0,0,0,55,55,55,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,22,10001,,,1002,
2105023,#N/A,5,,3,ic_userfarm7_Qingse,饲养小动物的高级饲养设备。,gnicob1024Qs,,15,0,0,0,78,78,78,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,23,10001,,,1002,
2105024,#N/A,5,,3,ic_userabout6_HuaBan,可以用来画画的画板。,gnicob1025Hb,,15,0,0,0,82,82,82,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,24,10001,,,1002,
2105025,#N/A,5,,3,ic_usercook1_CaiDao,切菜必备。,gnicob1026Zb,,15,0,0,0,9,9,9,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,25,10001,,,1002,
2105026,#N/A,5,,3,ic_decorate1_DaoCaoR,赶走那些来偷吃你作物的小动物。,gnicob1027Dcr,,15,7,0,0,145,145,145,0,0,20000,1015,2,frame_felling,woodHited,,100,,,,,0,1,,,26,10001,,,1002,
2105027,#N/A,5,,3,ic_userabout2_FengChe,通过风力提供动力。,gnicob1028Flfdj,,15,0,0,0,141,141,141,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,27,10001,,,1002,
2105028,#N/A,5,,3,ic_userabout4_GongDianZ,源码能量转化成电力的供电柱。,gnicob1029Gdz,,15,0,0,0,104,104,104,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,28,10001,,,1002,
2105029,#N/A,5,,3,ic_userabout8_KaiGuanL,一个绿色开关。,gnicob1030Kg_0,,15,0,0,0,23,23,23,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,29,10001,,,1002,
2105030,#N/A,5,,3,ic_userabout5_KaiGuanH,一个红色开关。,gnicob1030Kg_1,,15,0,0,0,23,23,23,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,30,10001,,,1002,
2105031,#N/A,5,,3,ic_userabout10_TangHuang,一个弹簧陷阱，可以弹飞入侵你领地的家伙。,gnicob1031Th_0,,15,0,0,0,10,10,10,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,31,10001,,,1002,
2105033,#N/A,5,,3,ic_decorate10_YiChu,可以存放大量衣物。,gnicob1032Yg,,15;15,0,0,0,115,115,115,0,0;0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,32,10001,,,1002,
2105034,#N/A,5,,3,ic_usercook5_YMKaoLu,奇特的源码烤箱，什么都可以烤得很好吃。,gnicob1033Ymkx,,15,0,0,0,48,48,48,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,33,10001,,,1002,
2105035,#N/A,5,,3,ic_decorate9_TiZi,帮你到达更高得地方。,gnicob1034Ymlt,,15,0,0,0,121,121,121,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,34,10001,,,1002,
2105036,#N/A,5,,3,ic_userfarm3_HanDi,自己自足得开始，可以种植很多食物。麦子，土豆，胡萝卜。,gnicob1035Hd_0,,15,7,1,1,9,9,9,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,0,,,35,10001,,,1002,
2105038,#N/A,5,,3,ic_userfarm2_ShuiTian,想一直有大米吃得话，水田必不可少。可以种植水稻。,gnicob1036St_0,,15,7,1,1,9,9,9,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,0,,,36,10001,,,1002,
2105040,#N/A,5,,3,ic_userfarm1_GJGengDi,基本什么都能种，非常肥沃。,gnicob1037Gjgd_0,,15,7,0,1,9,9,9,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,0,,,37,10001,,,1002,
2105041,#N/A,5,,3,gnic1041Jxgzf,机器人装备离不开机械工作台。,gnicob1041Jxgzf,,15;15,"7,17,10",0,0,64,64,64,0,0;0,,,,,,,,,,,,0,1,,,38,10001,,,1002,
2105042,#N/A,5,,3,gnic1042HJjxgzf,更强力得机器人装备就靠它了。,gnicob1042HJjxgzf,,"15,15","7,17,10",0,0,60,60,60,0,"0,0",,,,,,,,,,,,0,1,,,39,10001,,,1002,
2105043,#N/A,5,,3,gnic1043Rg,可以合成染料，让你得生活变得五颜六色的关键。,gnicob1043Rg,,"15,15;15,15",0,0,0,115,115,115,0,"0,0;0,0",144,1015,2,frame_felling,ironHited,,,,,,,0,1,,,40,10001,,,1002,
2105044,家园传送点,17,,3,gnic1044Jycsd,没有它回家可麻烦了，有了领地一定要先建造一个。,gnicob1044Jycsd,,15,"7,17,10",0,0,2,2,2,0,15,144,1015,5,frame_felling,ironHited,,,,,,,0,0,,,41,10001,,,1002,
2105045,领地出生点,17,,3,chu_sheng_dianic,无领地模板时用于标识玩家出生点，有领地模板时标识领地模板生成地点。,chu_sheng_dian,,15,"0,16",0,1,1,1,1,0,15,0,0,5,,,,,,,,,,,,,,10001,,,1002,
2105048,#N/A,5,,3,gnic1048Cjswgzq,可以合成一些小动物。,gnicob1048Cjswgzq,,"15,15;15,15","7,17,10",0,0,2,2,2,0,"15,15;15,15",,,,,,,,,,,,0,1,,,42,10001,,,1002,
2105049,#N/A,5,,3,gnic1049Zjswgzq,可以合成一些大一点得动物。,gnicob1049Zjswgzq,,"15,15;15,15","7,17,10",0,0,2,2,2,0,"15,15;15,15",,,,,,,,,,,,0,1,,,43,10001,,,1002,
2105050,#N/A,5,,3,gnic1050Gjswgzq,可以合成一些奇特生物。,gnicob1050Gjswgzq,,"15,15;15,15","7,17,10",0,0,2,2,2,0,"15,15;15,15",,,,,,,,,,,,0,0,,,44,10001,,,1002,
2106001,#N/A,5,,4,ic_decorate8_ShuiHu,一个装饰用得水壶。,icob1001Sh,,15,0,0,0,53,53,53,0,0,144,1015,4,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106002,#N/A,5,,4,ic_decorate6_PengQuan,有了喷泉，似乎有什么不一样了。,icob1002Pq,,"15,15;15,15",7,1,0,94,94,94,0,"0,0;0,0",144,1015,4,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106003,#N/A,5,,4,ic_cube1_AnShan,安山岩方块，纪念版。,icob1003Asyfk,,15,0,1,1,50,50,50,0,15,144,1015,4,frame_felling,ironHited,,,,,,,0,1,,1,,10001,,,1002,
2106004,#N/A,5,,4,ic_cube3_HuaGang,花岗岩方块，纪念版。,icob1004Hgyfk,,15,0,1,1,50,50,50,0,15,144,1015,4,frame_felling,ironHited,,,,,,,0,1,,1,,10001,,,1002,
2106005,#N/A,5,,4,ic_cube2_ShiTou,石头立方块，纪念版。,icob1005Stlfk,,15,0,1,1,50,50,50,0,15,144,1015,4,frame_felling,ironHited,,,,,,,0,1,,1,,10001,,,1002,
2106006,#N/A,5,,4,ic_cube4_BingKuai,冰方块，纪念版。,icob1006Bfk,,15,0,1,1,48,48,48,0,15,144,1015,4,frame_felling,ironHited,,,,,,,0,1,,1,,10001,,,1002,
2106007,#N/A,5,,4,ic_cube5_CaoCong,一个草垛，让你的家绿意盎然。,icob1007Cd,,15,0,1,1,45,45,45,0,15,144,1015,3,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106010,#N/A,5,,4,ic1010Mb,一块分隔开的木板，用来铺一条木制小路吧。,icob1010Mb,,15,0,1,1,9,9,9,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106011,#N/A,5,,4,ic_decorate5_MuTong,一个装饰用的小木桶。,icob1011Mt,,15,0,0,1,55,55,55,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106012,#N/A,5,,4,ic1012Ymkbd,一张原木靠背凳。,icob1012Ymkbd,,15,0,0,0,75,75,75,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106013,#N/A,5,,4,ic1013Fmkbd,一张红枫木靠背凳,icob1013Fmkbd,,15,0,0,0,75,75,75,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106014,#N/A,5,,4,ic1014Xmkbd,一张橡木靠背凳,icob1014Xmkbd,,15,0,0,0,75,75,75,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106015,#N/A,5,,4,ic1015Ymtsy,一张原木太师椅,icob1015Ymtsy,,15,0,0,0,70,70,70,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106016,#N/A,5,,4,ic1016Fmtsy,一张红枫木太师椅,icob1016Fmtsy,,15,0,0,0,70,70,70,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106017,#N/A,5,,4,ic1016Xmtsy,一张橡木太师椅,icob1016Xmtsy,,15,0,0,0,70,70,70,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106018,#N/A,5,,4,ic1017Ymbz,一个原木宝座。,icob1017Ymbz,,15,0,0,0,78,78,78,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106019,#N/A,5,,4,ic1018Fmbz,一个枫木宝座。,icob1018Fmbz,,15,0,0,0,78,78,78,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106020,#N/A,5,,4,ic1019Xmbz,一个橡木宝座。,icob1019Xmbz,,15,0,0,0,78,78,78,0,0,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106021,#N/A,5,,4,ic_bed1_YuanMu,一张原木床，可以好好休息一下啦。,icob1020Ymc,,"15,15;15,15",0,0,0,66,66,66,0,"0,0;0,0",144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106022,#N/A,5,,4,ic_decorate4_HeiXiangMSJ,黑橡木制作的书柜，让我们一起看书吧。,icob1022Hxmsj,,15;15,0,0,1,118,118,118,0,15;15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106023,木围栏·横,5,,4,ic_ob_fuhuodianbai,木围栏·横,icob1023Mwl1,,15,0,1,0,42,42,42,0,13,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106024,木围栏·桩,5,,4,ic_ob_fuhuodianbai,木围栏·桩,icob1024Mwl2,,15,0,1,0,42,42,42,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106025,木围栏·门,5,,4,ic_ob_fuhuodianbai,木围栏·门,icob1025Mwl3,,"15,15",0,1,0,42,42,42,0,"13,13",144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106026,#N/A,5,,4,ic_userabout9_MuYMDeng,木制源码路灯，点亮你回家的路。,icob1026Mzymd,,15,0,0,0,148,148,148,0,0,144,1015,2,frame_felling,woodHited,,,,,,,200,1,,,,10001,,,1002,
2106027,#N/A,5,,4,ic_decorate7_ShouPiDT,一块兽皮地毯，保护动物，最好不要用兽皮哦！,icob1027Spdt,,"15,15;15,15","7,17,10",0,1,1,1,1,0,"15,15;15,15",144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106028,#N/A,5,,4,ic_deskBig1_BaiHua,白桦木做成的大方桌。,icob1028Bhdfz,,"15,15;15,15","7,17,10",0,1,78,78,78,0,"15,15;15,15",144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106029,#N/A,5,,4,ic_deskBig2_ShiTou,石制大方桌，用石头造的好东西,icob1029Szdfz,,"15,15;15,15","7,17,10",0,1,56,56,56,0,"15,15;15,15",144,1015,2,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2106030,#N/A,5,,4,ic_deskBig3_HeiXiang,黑橡木制成的方桌，上面可以摆不少东西,icob1030Hxmdfz,,"15,15;15,15","7,17,10",0,1,65,65,65,0,"15,15;15,15",144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106031,#N/A,5,,4,ic_deskBig4_XueHaiS,一个方桌，上面可以摆不少东西,icob1031Xhsdfz,,"15,15;15,15","7,17,10",0,1,92,92,92,0,"15,15;15,15",144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106032,#N/A,5,,4,ic_deskBig5_YunShan,一个方桌，上面可以摆不少东西,icob1032Ysmdfz,,"15,15;15,15","7,17,10",0,1,65,65,65,0,"15,15;15,15",144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106033,#N/A,5,,4,ic_desk1_BaiHuaF,一个方桌，上面可以摆不少东西,icob1033Bhmfz,,15,"7,17,10",0,1,42,42,42,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106034,#N/A,5,,4,ic_desk2_YuanMuF,一个方桌，上面可以摆不少东西,icob1034Fmz,,15,"7,17,10",0,1,46,46,46,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106035,#N/A,5,,4,ic_desk3_HeiXiangF,一个方桌，上面可以摆不少东西,icob1035Hxmfz,,15,"7,17,10",0,1,47,47,47,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106036,#N/A,5,,4,ic_desk4_HongFengF,一个方桌，上面可以摆不少东西,icob1036Hfmfz,,15,"7,17,10",0,1,56,56,56,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106037,#N/A,5,,4,ic_desk5_ShiTouF,一个方桌，上面可以摆不少东西,icob1037Szfz,,15,"7,17,10",0,1,54,54,54,0,15,144,1015,2,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2106038,#N/A,5,,4,ic_desk6_ShiTouY,一个方桌，上面可以摆不少东西,icob1038Szyz,,15,"7,17,10",0,1,48,48,48,0,15,144,1015,2,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2106039,#N/A,5,,4,ic_desk7_XueHaiF,一个方桌，上面可以摆不少东西,icob1039Xhsfz,,15,"7,17,10",0,1,54,54,54,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106040,#N/A,5,,4,ic_desk8_YuanMuY,原木做成的圆桌，虽然初级但是实用,icob1040Ymz,,15,"7,17,10",0,1,52,52,52,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106041,#N/A,5,,4,ic_desk9_YunShanY,青云衫制成的圆桌，上面可以摆不少好东西,icob1041Ysmyz,,15,"7,17,10",0,1,46,46,46,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106042,#N/A,5,,4,ic_chair1_BaiHuaF,白桦木方凳,icob1042Bhmfd,,15,0,0,1,40,40,40,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106043,#N/A,5,,4,ic_chair3_YuanMuF,方木凳,icob1043Fmd,,15,0,0,1,40,40,40,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106044,#N/A,5,,4,ic_chair4_HeiXiangF,黑橡木方凳,icob1044Hxmfd,,15,0,0,1,45,45,45,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106045,#N/A,5,,4,ic_chair6_HongFengF,红枫木方凳,icob1045Hfmfd,,15,0,0,1,40,40,40,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106046,#N/A,5,,4,ic_chair10_XueHaiF,雪海松方凳,icob1046Xhsfd,,15,0,0,1,40,40,40,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106047,#N/A,5,,4,ic_chair14_YunShanF,青云杉方凳,icob1047Ysmfd,,15,0,0,1,40,40,40,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106048,#N/A,5,,4,ic_chair8_ShiTouF,石制方凳,icob1048Szfd,,15,0,0,1,40,40,40,0,15,144,1015,2,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2106049,#N/A,5,,4,ic_chair2_BaiHuaY,白桦木圆凳,icob1049Bhmyd,,15,0,0,1,40,40,40,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106050,#N/A,5,,4,ic_chair5_HeiXiangY,黑橡木圆凳,icob1050Hxmyd,,15,0,0,1,45,45,45,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2106051,#N/A,5,,4,ic_chair7_HongFengY,红枫木圆凳,icob1051Hfmyd,,15,0,0,1,30,30,30,0,15,144,1015,2,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
