物件ID,物件名称1,备注,Material的Icon,Materia的描述,"类型
5.建筑物品
7.地表/地块
8.资源（地图上刷出来的资源）
10.地板
11.墙面 
     1.普通墙面（自动建造会围绕着地板）
     2.栅栏（自动建造不围绕着地板）
     3.门（门后方不可建造其他物品）
12.窗户",子类型,"前置物件
0，可以放置在任意类型的前置物件上",物件逻辑投影,通行方向（阻挡）,纹理1,补充纹理,血量,死亡掉落配方ID,"技能作用类型
 0.未知类型
 2.木头
 3.草
 4.石头
 5.建筑
     8.宝箱",受击特效,受击音效,物件防御,掉落经验,物件等级,地形类型,是否有缓动效果,场景效果根锚点,照亮范围,是否遮挡,身体大小(半径像素),不显示在代码块下拉中,阵营,"种出来资源的寿命
（种植专用，非种植无需配置）单位秒",代码界面中物品排序ID,idle效果,死亡效果
4001041,信箱,80059,feixu_1_1_10,信箱,8,,0,15,0,feixu_1_1_10,0,100,10091,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,30,1,1,,,,
4001042,垃圾树,80060,feixu_2_2_06,垃圾树,8,,0,15,0,"feixu_2_2_06,feixu_2_2_07,feixu_2_2_08",0,100,10096,2,frame_cutting,woodHited,0,0,0,0,0,30,0,1,30,1,1,,,1,
4001043,枯草,80061,zxmt_fx_cao1,垃圾草,8,,0,15,15,"zxmt_fx_cao1,zxmt_fx_cao2,zxmt_fx_cao3",0,1,10072,3,frame_caoFeiYe,grassHited,0,0,0,1,1,,0,0,0,1,1,,,,1002
4001044,垃圾桶2,80062,feixu_2_1_01,垃圾桶2,8,,0,15;15,0;0,feixu_2_1_01,0,160,10071,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,1,1,,,,
4001045,泥地树,80064,new_nds_1,泥地树,8,,0,15,0,new_nds_1,0,100,11019,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,30,1,1,,,,1001
4001046,泥地草,80063,new_ndc_1,泥地草,8,,0,15,15,new_ndc_1,0,1,11020,3,frame_caoFeiYe,grassHited,0,0,0,1,1,,0,0,0,1,1,,,2,1002
4001047,石地草,80065,new_sdc_1,石地草,8,,0,15,15,"new_sdc_1,new_sdc_2",0,1,11021,3,frame_caoFeiYe,grassHited,0,0,0,1,1,,0,0,0,1,1,,,2,1002
4001048,宝石,80066,new_bs_1,宝石,8,,0,15,15,"new_bs_1,new_bs_2",0,80,11022,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,3,
4001049,水晶,80067,new_sj_1,水晶,8,,0,15,15,new_sj_1,0,150,11023,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,3,
4001050,石地常青树,80068,new_sdcqs_1,石地常青树,8,,0,15,0,"new_sdcqs_1,new_sdcqs_2",0,100,11024,2,frame_cutting,woodHited,0,0,0,0,0,30,0,1,30,,1,,,1,
4001051,石地浆果,80069,new_sdjg_1,石地浆果,8,,0,15,15,new_sdjg_1,0,1,11025,3,frame_collect,grassHited,0,0,0,1,1,10,0,0,0,,1,,,1,
4001052,雪地青云衫,80070,new_qys_1,雪地青云衫,8,,0,15,0,new_qys_1,0,100,11026,2,frame_cutting,woodHited,0,0,0,0,0,30,0,1,30,,1,,,1,
4001053,石油矿,80071,new_shiyoukuang_1,石油矿,8,,0,15,0,new_shiyoukuang_1,0,80,11027,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,3,
4001054,冰山雪莲,80072,new_xuedihua_1,冰山雪莲,8,,0,15,15,new_xuedihua_1,0,1,11028,3,frame_collect,grassHited,0,0,0,1,1,,0,0,0,,1,,,,
4001055,冰块,80073,new_bingkuai_1,冰块,8,,0,15,0,new_bingkuai_1,0,80,11029,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,3,
4001056,雪地蘑菇,80074,new_mogu_1,雪地蘑菇,8,,0,15,15,new_mogu_1,0,1,10061,3,frame_collect,grassHited,0,0,0,1,1,,0,0,0,,1,,,,
4001057,黑曜石,80075,new_heiyao_1,黑曜石,8,,0,15,15,"new_heiyao_1,new_heiyao_2",0,150,11030,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,3,
4001058,火山岩,80076,new_huoshanyan_1,火山岩,8,,0,15,15,"new_huoshanyan_1,new_huoshanyan_2",0,80,10071,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,3,
4001059,烤焦的树,80077,new_shaojiao_1,烤焦的树,8,,0,15,0,"new_shaojiao_1,new_shaojiao_2",0,50,10070,2,frame_cutting,woodHited,0,0,0,0,0,20,0,1,0,,1,,,1,
4001060,火山草,80078,new_shaojiaocao_1,火山草,8,,0,15,15,new_shaojiaocao_1,0,1,10072,3,frame_collect,grassHited,0,0,0,1,1,,0,0,0,,1,,,,
4001062,石地石头,80080,new_sdst_1,石地石头,8,,0,15,0,"new_sdst_1,new_sdst_2",0,100,10087,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,1,1,,,3,
4001063,约书亚树,80081,ShuMu10_2X2,约书亚树,8,,0,15,0,ShuMu10_2X2,0,150,11031,2,frame_cutting,woodHited,0,0,0,0,0,30,0,1,0,,1,,,1,
4001064,高脚树,80082,ShuMu03_2X2,高脚树,8,,0,15,0,ShuMu03_2X2,0,100,11032,2,frame_cutting,woodHited,0,0,0,0,0,30,0,1,0,,1,,,1,
4001065,椰子树,80083,ShuMu08_2X2,椰子树,8,,0,15,0,ShuMu08_2X2,0,120,11033,2,frame_cutting,woodHited,0,0,0,0,0,30,0,1,0,,1,,,1,
4001066,岩石方块1,80084,zxob_shitou_01,岩石方块1,8,,0,15,0,zxob_shitou_01,0,100,11035,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,3,
4001067,土块,80085,liangduan_3_1,土块,8,,0,15,15,liangduan_3_1,0,100,11036,4,frame_mining,grassHited,0,0,0,0,0,,0,1,0,,1,,,3,
