物件ID1,物件名称1,素材分组,"类型
专门用于前置物件判定
还有代码块类型筛选判断","建筑背包分类
（素材库的分类）",素材标签,Entity的Icon,Entity的描述,纹理1,补充纹理,动画名字,物件逻辑投影,建造高度,属性控件,代码库,行走矮边高,行走高边高,物件高边 ,通行方向,是否是地块,idle效果,场景效果根锚点,,光效,光效锚点偏移,掉落,素材库展示类型,正视角素材库ICON,正视角地图纹理,正视角地图建造高度,正视角地图行走矮边高,正视角地图行走高边高,正视角地图效果根锚点,正视角地图光效锚点偏移,"资源类型
1：2D贴图（默认）
2：2D动画
3：3D模型","资源路径
- 不用后缀
- 相对各自文件夹目录",朝向相机,"是否水平放置
- 比如地板
- 对3D无效"
20009063,墙5-2,20009059,5,1,舞台,wutai63ic,墙5-2,wutai63,,,15;15,180,10001,1002,180,180,0,15;15,,,,,,,,1,,,,,,,,,,1,
20009064,墙5-3,20009059,5,1,舞台,wutai64ic,墙5-3,wutai64,,,15;15,180,10001,1002,180,180,0,15;15,,,,,,,,1,,,,,,,,,,1,
20009065,墙5-4,20009059,5,1,舞台,wutai65ic,墙5-4,wutai65,,,15;15,180,10001,1002,180,180,0,15;15,,,,,,,,1,,,,,,,,,,1,
20009066,墙柱,,5,1,舞台,wutai66ic,墙柱,wutai66,,,15,260,10001,1002,260,260,0,15,,,,,,,,1,,,,,,,,,,1,
20009067,四格方木柱,20009067,5,1,舞台,wutai67ic,四格方木柱,wutai67,,,"15,15;15,15",355,10001,1002,355,355,0,"0,0;0,0",,,,,,,,1,,,,,,,,,,1,
20009068,四格云云柱,20009067,5,1,舞台,wutai68ic,四格云云柱,wutai68,,,"15,15;15,15",370,10001,1002,370,370,0,"0,0;0,0",,,,,,,,1,,,,,,,,,,1,
20009069,围栏1,20009069,5,1,"舞台,围栏",wutai69ic,围栏1,wutai69,,,15,80,10001,1002,80,80,0,15,,,,,,,,1,,,,,,,,,,1,
20009070,围栏1-1,20009069,5,1,"舞台,围栏",wutai70ic,围栏1-1,wutai70,,,"15,15,15",70,10001,1002,70,70,0,"15,15,15",,,,,,,,1,,,,,,,,,,1,
20009071,围栏2,20009069,5,1,"舞台,围栏",wutai71ic,围栏2,wutai71,,,15,70,10001,1002,70,70,0,15,,,,,,,,1,,,,,,,,,,1,
20009072,围栏2-1,20009069,5,1,"舞台,围栏",wutai72ic,围栏2-1,wutai72,,,"15,15,15",110,10001,1002,110,110,0,"15,15,15",,,,,,,,1,,,,,,,,,,1,
20009073,围栏3-1,20009069,5,1,"舞台,围栏",wutai73ic,围栏3-1,wutai73,,,15;15;15,70,10001,1002,70,70,0,15;15;15,,,,,,,,1,,,,,,,,,,1,
20009074,围栏3-2,20009069,5,1,"舞台,围栏",wutai74ic,围栏3-2,wutai74,,,15;15;15,110,10001,1002,110,110,0,15;15;15,,,,,,,,1,,,,,,,,,,1,
20009075,小木凳,,5,9,"舞台,椅子",wutai75ic,小木凳,wutai75,,,15,30,10001,1002,30,30,0,15,,,,,,,,1,,,,,,,,,,,
20009076,星星低平台,20009076,5,1,舞台,wutai76ic,星星低平台,wutai76,,,15,30,10001,1002,30,30,0,15,,,,,,,,1,,,,,,,,,,1,
20009077,星星低平台2,20009076,5,1,舞台,wutai77ic,星星低平台2,wutai77,,,15,30,10001,1002,30,30,0,15,,,,,,,,1,,,,,,,,,,1,
20009078,星星低平台3,20009076,5,1,舞台,wutai78ic,星星低平台3,wutai78,,,15,30,10001,1002,30,30,0,15,,,,,,,,1,,,,,,,,,,1,
20009079,星星低平台4,20009076,5,1,舞台,wutai79ic,星星低平台4,wutai79,,,15,30,10001,1002,30,30,0,15,,,,,,,,1,,,,,,,,,,1,
20009080,星星低平台5,20009076,5,1,舞台,wutai80ic,星星低平台5,wutai80,,,15,30,10001,1002,30,30,0,15,,,,,,,,1,,,,,,,,,,1,
20009081,星星高楼梯2,20009076,5,1,"舞台,楼梯",wutai81ic,星星高楼梯2,wutai81,,,15,105,10001,1002,30,105,1,5,,,,,,,,1,,,,,,,,,,1,
20009082,星星高平台,20009076,5,1,舞台,wutai82ic,星星高平台,wutai82,,,15,105,10001,1002,105,105,0,15,,,,,,,,1,,,,,,,,,,1,
20009083,星星高平台1,20009076,5,1,舞台,wutai83ic,星星高平台1,wutai83,,,15,105,10001,1002,105,105,0,15,,,,,,,,1,,,,,,,,,,1,
20009084,星星高平台2,20009076,5,1,舞台,wutai84ic,星星高平台2,wutai84,,,15,105,10001,1002,105,105,0,15,,,,,,,,1,,,,,,,,,,1,
20009085,星星高平台3,20009076,5,1,舞台,wutai85ic,星星高平台3,wutai85,,,15,105,10001,1002,105,105,0,15,,,,,,,,1,,,,,,,,,,1,
20009086,星星高平台4,20009076,5,1,舞台,wutai86ic,星星高平台4,wutai86,,,15,105,10001,1002,105,105,0,15,,,,,,,,1,,,,,,,,,,1,
20009087,星星高平台5,20009076,5,1,舞台,wutai87ic,星星高平台5,wutai87,,,15,105,10001,1002,105,105,0,15,,,,,,,,1,,,,,,,,,,1,
20009088,星星幕 黑幕,20009076,5,1,舞台,wutai88ic,星星幕 黑幕,wutai88,,,15,225,10001,1002,225,225,0,15,,,,,,,,1,,,,,,,,,,1,
20009089,星星幕,20009076,5,1,舞台,wutai89ic,星星幕,wutai89,,,15,225,10001,1002,225,225,0,15,,,,,,,,1,,,,,,,,,,1,
20009090,星星幕右,20009076,5,1,舞台,wutai90ic,星星幕右,wutai90,,,15,225,10001,1002,225,225,0,15,,,,,,,,1,,,,,,,,,,1,
20009091,星星幕左,20009076,5,1,舞台,wutai91ic,星星幕左,wutai91,,,15,225,10001,1002,225,225,0,15,,,,,,,,1,,,,,,,,,,1,
20009092,星星小楼梯,20009076,5,1,"舞台,楼梯",wutai92ic,星星小楼梯,wutai92,,,15,30,10001,1002,1,30,1,5,,,,,,,,1,,,,,,,,,,1,
20009093,星星小楼梯2,20009076,5,1,"舞台,楼梯",wutai93ic,星星小楼梯2,wutai93,,,15,30,10001,1002,1,30,1,5,,,,,,,,1,,,,,,,,,,1,
20009094,星星柱子,20009076,5,1,"舞台,柱子",wutai94ic,星星柱子,wutai94,,,15,315,10001,1002,315,315,0,15,,,,,,,,1,,,,,,,,,,1,
20009095,一格木方柱,20009095,5,1,"舞台,柱子",wutai95ic,一格木方柱,wutai95,,,15,240,10001,1002,240,240,0,15,,,,,,,,1,,,,,,,,,,1,
20009096,一格木方柱 2,20009095,5,1,"舞台,柱子",wutai96ic,一格木方柱 2,wutai96,,,15,240,10001,1002,240,240,0,15,,,,,,,,1,,,,,,,,,,1,
20009097,云云柱,20009097,5,1,"舞台,柱子",wutai97ic,云云柱,wutai97,,,15,260,10001,1002,260,260,0,15,,,,,,,,1,,,,,,,,,,1,
20009098,云云柱2,20009097,5,1,"舞台,柱子",wutai98ic,云云柱2,wutai98,,,15,260,10001,1002,260,260,0,15,,,,,,,,1,,,,,,,,,,1,
20009099,长凳,20009099,5,9,"舞台,椅子",wutai99ic,长凳,wutai99,,,"15,15",30,10001,1002,30,30,0,"0,0",,,,,,,,1,,,,,,,,,,,
20009100,长凳2,20009099,5,9,"舞台,椅子",wutai100ic,长凳2,wutai100,,,15;15,30,10001,1002,30,30,0,0;0,,,,,,,,1,,,,,,,,,,,
20010001,手提箱,,5,9,箱子,gf_1_1_01ic,手提箱,gf_1_1_01,,,15,1,10001,1002,1,1,0,15,,,,,,,,1,,,,,,,,,,,
20010002,修理工具,,5,9,工具,gf_1_1_02ic,修理工具,gf_1_1_02,,,15,1,10001,1002,1,1,0,15,,,,,,,,1,,,,,,,,,,,
20010003,工作台,,5,8,工作台,gf_1_1_03ic,工作台,gf_1_1_03,,,15,35,10001,1002,35,35,0,0,,,,,,,,1,,,,,,,,,,1,
20010004,箱子,,5,9,箱子,gf_1_1_04ic,箱子,gf_1_1_04,,,15,60,10001,1002,60,60,0,0,,,,,,,,1,,,,,,,,,,,
20010005,地板1,20010005,10,1,地板,gf_1_1_05ic,地板1,gf_1_1_05,,,15,5,10001,1002,5,5,0,15,,,,,,,,1,,,,,,,,,,1,
20010006,地板2,20010005,10,1,地板,gf_1_1_06ic,地板2,gf_1_1_06,,,15,5,10001,1002,5,5,0,15,,,,,,,,1,,,,,,,,,,1,
20010007,柱子,,5,1,,gf_1_1_07ic,柱子,gf_1_1_07,,,15,180,10001,1002,180,180,0,0,,,,,,,,1,,,,,,,,,,1,
20010008,地板3,20010005,10,1,地板,gf_1_1_08ic,地板3,gf_1_1_08,,,15,5,10001,1002,5,5,0,15,,,,,,,,1,,,,,,,,,,1,
20010009,地板4,20010005,10,1,地板,gf_1_1_09ic,地板4,gf_1_1_09,,,15,5,10001,1002,5,5,0,15,,,,,,,,1,,,,,,,,,,1,
20010010,地板5,20010005,10,1,地板,gf_1_1_010ic,地板5,gf_1_1_010,,,15,5,10001,1002,5,5,0,15,,,,,,,,1,,,,,,,,,,1,
20010011,地板6,20010005,10,1,地板,gf_1_1_011ic,地板6,gf_1_1_011,,,15,5,10001,1002,5,5,0,15,,,,,,,,1,,,,,,,,,,1,
20010012,地板7,20010005,10,1,地板,gf_1_1_012ic,地板7,gf_1_1_012,,,15,5,10001,1002,5,5,0,15,,,,,,,,1,,,,,,,,,,1,
20010013,地板8,20010005,10,1,地板,gf_1_1_013ic,地板8,gf_1_1_013,,,15,5,10001,1002,5,5,0,15,,,,,,,,1,,,,,,,,,,1,
20010014,地板9,20010005,10,1,地板,gf_1_1_014ic,地板9,gf_1_1_014,,,15,5,10001,1002,5,5,0,15,,,,,,,,1,,,,,,,,,,1,
20010015,石柱子,,5,1,,gf_1_1_015ic,石柱子,gf_1_1_015,,,15,180,10001,1002,180,180,0,0,,,,,,,,1,,,,,,,,,,1,
20010016,墙,20010016,5,1,,gf_1_2_01ic,墙,gf_1_2_01,,,"15,15",180,10001,1002,180,180,0,"0,0",,,,,,,,1,,,,,,,,,,1,
20010017,墙2,20010016,5,1,,gf_1_2_02ic,墙2,gf_1_2_02,,,"15,15",180,10001,1002,180,180,0,"0,0",,,,,,,,1,,,,,,,,,,1,
20010018,柜子,20010018,5,9,柜子,gf_1_2_03ic,柜子,gf_1_2_03,,,"15,15",120,10001,1002,120,120,0,"0,0",,,,,,,,1,,,,,,,,,,,
20010019,墙3,20010016,5,1,"工具,墙",gf_1_2_04ic,墙3,gf_1_2_04,,,"15,15",180,10001,1002,180,180,0,"0,0",,,,,,,,1,,,,,,,,,,1,
20010020,柜子2,20010020,5,9,柜子,gf_1_2_05ic,柜子2,gf_1_2_05,,,"15,15",180,10001,1002,180,180,0,"0,0",,,,,,,,1,,,,,,,,,,,
20010021,工具架子,20010021,5,9,柜子,gf_1_2_06ic,工具架子,gf_1_2_06,,,"15,15",90,10001,1002,90,90,0,"0,0",,,,,,,,1,,,,,,,,,,,
20010022,带门的墙,,5,1,,gf_1_2_07ic,带门的墙,gf_1_2_07,,,"15,15",180,10001,1002,180,180,0,"0,0",,,,,,,,1,,,,,,,,,,1,
20010023,梯子,20010023,5,1,梯子,gf_1_2_08ic,梯子,gf_1_2_08,,,"15,15",255,10001,1002,1,255,1,"5,5",,,,,,,,1,,,,,,,,,,1,
20010024,墙4,20010016,5,1,,gf_1_2_09ic,墙4,gf_1_2_09,,,"15,15",180,10001,1002,180,180,0,"0,0",,,,,,,,1,,,,,,,,,,1,
20010025,墙5,20010016,5,1,,gf_1_2_010ic,墙5,gf_1_2_010,,,"15,15",180,10001,1002,180,180,0,"0,0",,,,,,,,1,,,,,,,,,,1,
20010026,墙6,20010016,5,1,,gf_1_2_011ic,墙6,gf_1_2_011,,,"15,15",180,10001,1002,180,180,0,"0,0",,,,,,,,1,,,,,,,,,,1,
20010027,墙7,20010016,5,1,,gf_1_2_012ic,墙7,gf_1_2_012,,,"15,15",180,10001,1002,180,180,0,"0,0",,,,,,,,1,,,,,,,,,,1,
20010028,卷帘门,20010028,5,1,,gf_1_3_01ic,卷帘门,gf_1_3_01,,,"15,15,15",180,10001,1002,180,180,0,"0,0,0",,,,,,,,1,,,,,,,,,,1,
20010029,大门,20010029,5,1,,gf_1_4_01ic,大门,gf_1_4_01,,,"15,15,15,15",180,10001,1002,180,180,0,"0,0,0,0",,,,,,,,1,,,,,,,,,,1,
20010030,墙8,20010016,5,1,,gf_2_1_01ic,墙8,gf_2_1_01,,,15;15,180,10001,1002,180,180,0,0;0,,,,,,,,1,,,,,,,,,,1,
20010031,墙9,20010016,5,1,,gf_2_1_02ic,墙9,gf_2_1_02,,,15;15,180,10001,1002,180,180,0,0;0,,,,,,,,1,,,,,,,,,,1,
20010032,柜子2,20010018,5,9,,gf_2_1_03ic,柜子2,gf_2_1_03,,,15;15,120,10001,1002,120,120,0,0;0,,,,,,,,1,,,,,,,,,,,
20010033,墙10,20010016,5,1,,gf_2_1_04ic,墙10,gf_2_1_04,,,15;15,180,10001,1002,180,180,0,0;0,,,,,,,,1,,,,,,,,,,1,
20010034,柜子3,20010020,5,9,,gf_2_1_05ic,柜子3,gf_2_1_05,,,15;15,180,10001,1002,180,180,0,0;0,,,,,,,,1,,,,,,,,,,,
20010035,工具架子2,20010021,5,9,,gf_2_1_06ic,工具架子2,gf_2_1_06,,,15;15,90,10001,1002,90,90,0,0;0,,,,,,,,1,,,,,,,,,,,
20010036,墙11,20010016,5,1,,gf_2_1_07ic,墙11,gf_2_1_07,,,15;15,180,10001,1002,180,180,0,0;0,,,,,,,,1,,,,,,,,,,1,
20010037,梯子2,20010023,5,1,,gf_2_1_08ic,梯子2,gf_2_1_08,,,15;15,255,10001,1002,1,255,8,10;10,,,,,,,,1,,,,,,,,,,1,
20010038,墙12,20010016,5,1,,gf_2_1_09ic,墙12,gf_2_1_09,,,15;15,180,10001,1002,180,180,0,0;0,,,,,,,,1,,,,,,,,,,1,
20010039,墙13,20010016,5,1,,gf_2_1_010ic,墙13,gf_2_1_010,,,15;15,180,10001,1002,180,180,0,0;0,,,,,,,,1,,,,,,,,,,1,
20010040,墙14,20010016,5,1,,gf_2_1_011ic,墙14,gf_2_1_011,,,15;15,180,10001,1002,180,180,0,0;0,,,,,,,,1,,,,,,,,,,1,
20010041,墙15,20010016,5,1,,gf_2_1_012ic,墙15,gf_2_1_012,,,15;15,180,10001,1002,180,180,0,0;0,,,,,,,,1,,,,,,,,,,1,
20010042,墙16,20010016,5,1,,gf_2_2_01ic,墙16,gf_2_2_01,,,"15,15;15,15",180,10001,1002,180,180,0,"0,0;0,0",,,,,,,,1,,,,,,,,,,1,
20010043,墙17,20010016,5,1,,gf_2_2_02ic,墙17,gf_2_2_02,,,"15,15;15,15",180,10001,1002,180,180,0,"0,0;0,0",,,,,,,,1,,,,,,,,,,1,
20010044,墙18,20010016,5,1,,gf_2_2_03ic,墙18,gf_2_2_03,,,"15,15;15,15",180,10001,1002,180,180,0,"0,0;0,0",,,,,,,,1,,,,,,,,,,1,
20010045,墙19,20010016,5,1,,gf_2_2_04ic,墙19,gf_2_2_04,,,"15,15;15,15",180,10001,1002,180,180,0,"0,0;0,0",,,,,,,,1,,,,,,,,,,1,
20010046,墙20,20010016,5,1,,gf_2_2_05ic,墙20,gf_2_2_05,,,"15,15;15,15",180,10001,1002,180,180,0,"0,0;0,0",,,,,,,,1,,,,,,,,,,1,
20010047,墙21,20010016,5,1,,gf_2_2_06ic,墙21,gf_2_2_06,,,"15,15;15,15",180,10001,1002,180,180,0,"0,0;0,0",,,,,,,,1,,,,,,,,,,1,
20010048,墙22,20010016,5,1,,gf_2_2_07ic,墙22,gf_2_2_07,,,"15,15;15,15",180,10001,1002,180,180,0,"0,0;0,0",,,,,,,,1,,,,,,,,,,1,
20010049,墙23,20010016,5,1,,gf_2_2_08ic,墙23,gf_2_2_08,,,"15,15;15,15",180,10001,1002,180,180,0,"0,0;0,0",,,,,,,,1,,,,,,,,,,1,
20010050,桌子,20010050,5,9,,gf_2_3_01ic,桌子,gf_2_3_01,,,"15,15,15;15,15,15",60,10001,1002,60,60,0,"0,0,0;0,0,0",,,,,,,,1,,,,,,,,,,,
20010051,卷帘门2,20010028,5,1,,gf_3_1_01ic,卷帘门2,gf_3_1_01,,,15;15;15,180,10001,1002,180,180,0,0;0;0,,,,,,,,1,,,,,,,,,,1,
20010052,桌子2,20010050,5,9,,gf_3_2_01ic,桌子2,gf_3_2_01,,,"15,15;15,15;15,15",60,10001,1002,60,60,0,"15,15;15,15;15,15",,,,,,,,1,,,,,,,,,,,
20010053,大门2,20010029,5,1,,gf_4_1_01ic,大门2,gf_4_1_01,,,15;15;15;15,180,10001,1002,180,180,0,0;0;0;0,,,,,,,,1,,,,,,,,,,1,
20011001,白色小凳子,,5,9,椅子,LanFangZi_1_1_01_ic,白色小凳子,LanFangZi_1_1_01,,,15,60,10001,1002,60,60,0,15,,,,,,,,1,,,,,,,,,,,
20011002,白砖梁,,5,1,,LanFangZi_1_1_02_ic,白砖梁,LanFangZi_1_1_02,,,15,180,10001,1002,180,180,0,15,,,,,,,,1,,,,,,,,,,1,
20011003,蓝色方形砖,,5,1,,LanFangZi_1_1_03_ic,蓝色方形砖,LanFangZi_1_1_03,,,15,60,10001,1002,60,60,0,15,,,,,,,,1,,,,,,,,,,1,
20011004,蓝色柱,20011004,5,1,,LanFangZi_1_1_04_ic,蓝色柱,LanFangZi_1_1_04,,,15,180,10001,1002,180,180,0,15,,,,,,,,1,,,,,,,,,,1,
20011005,蓝色柱2,20011004,5,1,,LanFangZi_1_1_05_ic,蓝色柱2,LanFangZi_1_1_05,,,15,180,10001,1002,180,180,0,15,,,,,,,,1,,,,,,,,,,1,
20011006,木制方形砖,,5,1,,LanFangZi_1_1_06_ic,木制方形砖,LanFangZi_1_1_06,,,15,60,10001,1002,60,60,0,15,,,,,,,,1,,,,,,,,,,1,
20011007,植被1,,5,9,花盆,LanFangZi_1_1_07_ic,植被1,LanFangZi_1_1_07,,,15,170,10001,1002,170,170,0,15,,,,,,,,1,,,,,,,,,,,
20011008,房顶1,20011008,5,1,,LanFangZi_1_2_01_ic,房顶1,LanFangZi_1_2_01,,,"15,15",180,10001,1002,180,180,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011009,房顶2,20011008,5,1,,LanFangZi_1_2_02_ic,房顶2,LanFangZi_1_2_02,,,15;15,180,10001,1002,180,180,0,15;15,,,,,,,,1,,,,,,,,,,1,
20011010,墙,,5,1,,LanFangZi_1_2_03_ic,蓝色房顶4,LanFangZi_1_2_03,,,"15,15",180,10001,1002,180,180,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011011,蓝色房子门,,5,1,,LanFangZi_1_2_04_ic,蓝色房子门,LanFangZi_1_2_04,,,"15,15",240,10001,1002,240,240,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011012,蓝色横柱,,5,1,,LanFangZi_1_2_05_ic,蓝色横柱,LanFangZi_1_2_05,,,"15,15",60,10001,1002,60,60,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011013,蓝色墙1,20011013,5,1,,LanFangZi_1_2_06_ic,蓝色墙1,LanFangZi_1_2_06,,,"15,15",180,10001,1002,180,180,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011014,蓝色墙2,20011013,5,1,,LanFangZi_1_2_07_ic,蓝色墙2,LanFangZi_1_2_07,,,"15,15",180,10001,1002,180,180,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011015,蓝色墙3,20011013,5,1,,LanFangZi_1_2_08_ic,蓝色墙3,LanFangZi_1_2_08,,,"15,15",180,10001,1002,180,180,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011016,蓝色墙带窗,20011016,5,1,,LanFangZi_1_2_09_ic,蓝色墙带窗,LanFangZi_1_2_09,,,"15,15",180,10001,1002,180,180,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011017,蓝色墙带窗2,20011016,5,1,,LanFangZi_1_2_10_ic,蓝色墙带窗2,LanFangZi_1_2_10,,,"15,15",180,10001,1002,180,180,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011018,木制横柱,,5,1,,LanFangZi_1_2_11_ic,木制横柱,LanFangZi_1_2_11,,,"15,15",60,10001,1002,60,60,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011019,冰箱,,5,9,冰箱,LanFangZi_2_2_01_ic,冰箱,LanFangZi_2_2_01,,,"15,15;15,15",150,10001,1002,150,150,0,"15,15;15,15",,,,,,,,1,,,,,,,,,,,
20011020,阁楼1,20011020,5,1,,LanFangZi_2_2_02_ic,蓝色房顶1,LanFangZi_2_2_02,,,"15,15;15,15",180,10001,1002,180,180,0,"15,15;15,15",,,,,,,,1,,,,,,,,,,1,
20011021,阁楼2,20011020,5,1,,LanFangZi_2_2_03_ic,蓝色房顶2,LanFangZi_2_2_03,,,"15,15;15,15",180,10001,1002,180,180,0,"15,15;15,15",,,,,,,,1,,,,,,,,,,1,
20011022,砖柱1,20011022,5,1,,LanFangZi_1_1_08_ic,砖柱1,LanFangZi_1_1_08,,,15,180,10001,1002,180,180,0,15,,,,,,,,1,,,,,,,,,,1,
20011023,砖柱2,20011022,5,1,,LanFangZi_1_1_09_ic,砖柱2,LanFangZi_1_1_09,,,15,180,10001,1002,180,180,0,15,,,,,,,,1,,,,,,,,,,1,
20011024,砖柱3,20011022,5,1,,LanFangZi_1_1_10_ic,砖柱3,LanFangZi_1_1_10,,,15,180,10001,1002,180,180,0,15,,,,,,,,1,,,,,,,,,,1,
20011025,红色大理石柱1,20011025,5,1,,LanFangZi_1_1_11_ic,红色大理石柱1,LanFangZi_1_1_11,,,15,180,10001,1002,180,180,0,15,,,,,,,,1,,,,,,,,,,1,
20011026,红色大理石柱2,20011025,5,1,,LanFangZi_1_1_12_ic,红色大理石柱2,LanFangZi_1_1_12,,,15,180,10001,1002,180,180,0,15,,,,,,,,1,,,,,,,,,,1,
20011027,红色大理石墩,20011025,5,1,,LanFangZi_1_1_13_ic,红色大理石墩,LanFangZi_1_1_13,,,15,90,10001,1002,90,90,0,15,,,,,,,,1,,,,,,,,,,1,
20011028,黄色大理石墙带门,20011025,5,1,,LanFangZi_1_2_12_ic,黄色大理石墙带门,LanFangZi_1_2_12,,,"15,15",180,10001,1002,180,180,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011029,黄色大理石墙带窗,20011025,5,1,,LanFangZi_1_2_13_ic,黄色大理石墙带窗,LanFangZi_1_2_13,,,"15,15",180,10001,1002,180,180,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011030,黄色大理石墙,20011025,5,1,,LanFangZi_1_2_14_ic,黄色大理石墙,LanFangZi_1_2_14,,,"15,15",180,10001,1002,180,180,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011031,橘色房顶1,20011022,5,1,,LanFangZi_1_2_15_ic,橘色房顶1,LanFangZi_1_2_15,,,"15,15",180,10001,1002,180,180,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011032,木边墙带窗,20011022,5,1,,LanFangZi_1_2_16_ic,木边墙带窗,LanFangZi_1_2_16,,,"15,15",180,10001,1002,180,180,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011033,黑色高底门,20011022,5,1,,LanFangZi_1_2_17_ic,黑色高底门,LanFangZi_1_2_17,,,"15,15",180,10001,1002,180,180,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011034,黑边白底墙1,20011022,5,1,,LanFangZi_1_2_18_ic,黑边白底墙1,LanFangZi_1_2_18,,,"15,15",180,10001,1002,180,180,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011035,木边墙1,20011022,5,1,,LanFangZi_1_2_19_ic,木边墙1,LanFangZi_1_2_19,,,"15,15",180,10001,1002,180,180,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011036,黑边白底墙2,20011022,5,1,,LanFangZi_1_2_20_ic,黑边白底墙2,LanFangZi_1_2_20,,,"15,15",180,10001,1002,180,180,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011037,木边墙2,20011022,5,1,,LanFangZi_1_2_21_ic,木边墙2,LanFangZi_1_2_21,,,"15,15",180,10001,1002,180,180,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011038,砖梯,20011022,5,1,楼梯,LanFangZi_1_2_22_ic,砖梯,LanFangZi_1_2_22,,,"15,15",120,10001,1002,1,40,8,"10,10",,,,,,,,1,,,,,,,,,,1,
20011039,黑边矮窗,20011022,5,1,,LanFangZi_1_2_23_ic,黑边矮窗,LanFangZi_1_2_23,,,"15,15",90,10001,1002,90,90,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011040,红砖花坛,20011022,5,1,,LanFangZi_1_2_24_ic,红砖花坛,LanFangZi_1_2_24,,,"15,15",40,10001,1002,40,40,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011041,大理石横柱,20011025,5,1,,LanFangZi_1_2_25_ic,大理石横柱,LanFangZi_1_2_25,,,"15,15",90,10001,1002,90,90,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011042,木边横柱,20011022,5,1,,LanFangZi_1_2_26_ic,木边横柱,LanFangZi_1_2_26,,,"15,15",90,10001,1002,90,90,0,"15,15",,,,,,,,1,,,,,,,,,,1,
20011043,黑边横柱,20011022,5,1,,LanFangZi_1_2_27_ic,黑边横柱,LanFangZi_1_2_27,,,"15,15,15",90,10001,1002,90,90,0,"15,15,15",,,,,,,,1,,,,,,,,,,1,
20011044,橘色房顶2,20011022,5,1,,LanFangZi_1_3_01_ic,橘色房顶2,LanFangZi_1_3_01,,,"15,15,15",180,10001,1002,180,180,0,"15,15,15",,,,,,,,1,,,,,,,,,,1,
20011045,橘色房顶3,20011022,5,1,,LanFangZi_1_3_02_ic,橘色房顶3,LanFangZi_1_3_02,,,"15,15,15",180,10001,1002,180,180,0,"15,15,15",,,,,,,,1,,,,,,,,,,1,
20011046,橘色房顶4,20011022,5,1,,LanFangZi_1_3_03_ic,橘色房顶4,LanFangZi_1_3_03,,,"15,15,15",180,10001,1002,180,180,0,"15,15,15",,,,,,,,1,,,,,,,,,,1,
20011047,橘色房顶5,20011022,5,1,,LanFangZi_1_3_04_ic,橘色房顶5,LanFangZi_1_3_04,,,"15,15,15",180,10001,1002,180,180,0,"15,15,15",,,,,,,,1,,,,,,,,,,1,
20011048,橘色房顶6,20011022,5,1,,LanFangZi_1_3_05_ic,橘色房顶6,LanFangZi_1_3_05,,,"15,15,15",180,10001,1002,180,180,0,"15,15,15",,,,,,,,1,,,,,,,,,,1,
20011049,橘色房顶7,20011022,5,1,,LanFangZi_1_3_06_ic,橘色房顶7,LanFangZi_1_3_06,,,"15,15,15",180,10001,1002,180,180,0,"15,15,15",,,,,,,,1,,,,,,,,,,1,
20011050,橘色房顶8,20011022,5,1,,LanFangZi_2_3_01_ic,橘色房顶8,LanFangZi_2_3_01,,,"15,15,15;15,15,15",180,10001,1002,180,180,0,"15,15,15;15,15,15",,,,,,,,1,,,,,,,,,,1,
20011051,橘色房顶9,20011022,5,1,,LanFangZi_2_3_02_ic,橘色房顶9,LanFangZi_2_3_02,,,"15,15,15;15,15,15",180,10001,1002,180,180,0,"15,15,15;15,15,15",,,,,,,,1,,,,,,,,,,1,
20012001,威尼斯桥1,,7,,,WNSQ_01ic,威尼斯桥1,WNSQ_01,,,15,40,10001,1002,40,40,0,0,1,,,,,,,1,,,,,,,,,,1,
20012002,威尼斯桥2,,7,,,WNSQ_02ic,威尼斯桥2,WNSQ_02,,,15,75,10001,1002,75,75,0,15,1,,,,,,,1,,,,,,,,,,1,
20012003,威尼斯桥3,,7,,,WNSQ_03ic,威尼斯桥3,WNSQ_03,,,15,75,10001,1002,75,75,0,15,1,,,,,,,1,,,,,,,,,,1,
20012004,威尼斯桥4,,7,,,WNSQ_04ic,威尼斯桥4,WNSQ_04,,,15,75,10001,1002,75,75,0,15,1,,,,,,,1,,,,,,,,,,1,
