物件ID,物件名称,Varia的Icon,Varia的描述,"类型
5.建筑物品
7.地块
8.资源（地图上刷出来的资源）
10.地板
11.墙面 
     1.普通墙面（自动建造会围绕着地板）
     2.栅栏（自动建造不围绕着地板）
     3.门（门后方不可建造其他物品）
12.窗户
17.地表（特指用于装饰地块的物件）",子类型,纹理1,补充纹理,行走矮边高,行走高边高,物件高边 ,物件逻辑投影,通行方向,物件形状,"是否多格物件（特指不切图装饰物）
1为多格物件
0不为多格物件","物件上是否可建造
0不能建造
1可以建造但不会被覆盖
2插旗时被删除",建造高度,"建造类型
1.储物类(ArchStorage)
2.制造类(ArchProduction)
3.提示类(ArchPrompt)
4.时间类(ArchProduction)
5.状态类(ArchStateSend)","制造id
对应自己制造类型表中的id",接受状态ids,功能扩展,地形类型,是否有缓动效果,场景效果根锚点,照亮范围,遮挡是否产生半透,不显示在代码块下拉中,idle效果,死亡效果
4060313,沙滩水3,newcell1007,Varia表的描述没配置,5,,newcell1007,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,6,,,,1,,,
4060314,沙滩水4,newcell1008,Varia表的描述没配置,5,,newcell1008,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,6,,,,1,,,
4060315,沙滩水5,newcell1009,Varia表的描述没配置,5,,newcell1009,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,6,,,,1,,,
4060316,沙滩水6,newcell1010,Varia表的描述没配置,5,,newcell1010,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,6,,,,1,,,
4060317,沙滩水7,newcell1011,Varia表的描述没配置,5,,newcell1011,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,6,,,,1,1,,
4060318,沙滩水8,newcell1012,Varia表的描述没配置,5,,newcell1012,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,6,,,,1,,,
4060319,沙滩水9,newcell1013,Varia表的描述没配置,5,,newcell1013,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,6,,,,1,,,
4060320,沙滩水10,newcell1014,Varia表的描述没配置,5,,newcell1014,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,6,,,,1,,,
4060321,沙滩水11,newcell1015,Varia表的描述没配置,5,,newcell1015,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,6,,,,1,,,
4060322,沙滩水12,newcell1016,Varia表的描述没配置,5,,newcell1016,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,6,,,,1,,,
4060323,沙滩水13,newcell1017,Varia表的描述没配置,5,,newcell1017,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,6,,,,1,,,
4060324,沙滩水14,newcell1018,Varia表的描述没配置,5,,newcell1018,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,6,,,,1,,,
4060325,草土地表1,newcell1019,Varia表的描述没配置,5,,newcell1019,,1,1,0,15,15,"1,1,15,15",0,1,1,,,,,1,,,,,,,
4060328,草地表4,newcell1022,Varia表的描述没配置,5,,newcell1022,,60,60,0,15,15,"1,1,15,15",0,1,90,,,,,1,,,,1,,,
4060329,草地表5,newcell1023,Varia表的描述没配置,5,,newcell1023,,8,8,0,15,15,"1,1,15,15",0,1,8,,,,,1,,,,,,,
4060330,草地表6,newcell1024,Varia表的描述没配置,5,,newcell1024,,40,40,0,15,15,"1,1,15,15",0,1,40,,,,,1,,,,,,,
4060331,石头带草地表1,newcell1025,Varia表的描述没配置,5,,newcell1025,,8,8,0,15,15,"1,1,15,15",0,1,8,,,,,3,,,,,,,
4060332,石头带草地表2,newcell1026,Varia表的描述没配置,5,,newcell1026,,42,42,0,15,15,"1,1,15,15",0,1,42,,,,,3,,,,,,,
4060333,石头带草地表3,newcell1027,Varia表的描述没配置,5,,newcell1027,,65,65,0,15,15,"1,1,15,15",0,1,90,,,,,3,,,,,,,
4060334,草地表7,newcell1028,Varia表的描述没配置,5,,newcell1028,,10,10,0,15,15,"1,1,15,15",0,1,10,,,,,1,,,,,,,
4060335,草地表8,newcell1029,Varia表的描述没配置,5,,newcell1029,,1,1,0,15,15,"1,1,15,15",0,1,1,,,,,1,,,,,,,
4060338,草地表11,newcell1032,Varia表的描述没配置,5,,newcell1032,,1,1,0,15,15,"1,1,15,15",0,1,1,,,,,1,,,,,,,
4060342,沙滩1,newcell1036,Varia表的描述没配置,5,,newcell1036,,1,1,0,15,15,"1,1,15,15",0,1,1,,,,,6,,,,,,,
4060343,沙滩2,newcell1037,Varia表的描述没配置,5,,newcell1037,,1,1,0,15,15,"1,1,15,15",0,1,1,,,,,6,,,,,,,
4060344,沙滩3,newcell1038,Varia表的描述没配置,5,,newcell1038,,1,1,0,15,15,"1,1,15,15",0,1,1,,,,,6,,,,,,,
4060345,草过渡1,newcell1039,Varia表的描述没配置,17,,newcell1039,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060346,草过渡2,newcell1040,Varia表的描述没配置,17,,newcell1040,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060347,草过渡3,newcell1041,Varia表的描述没配置,17,,newcell1041,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060348,草过渡4,newcell1042,Varia表的描述没配置,17,,newcell1042,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060349,草过渡5,newcell1043,Varia表的描述没配置,17,,newcell1043,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060350,草过渡6,newcell1044,Varia表的描述没配置,17,,newcell1044,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060351,草过渡7,newcell1045,Varia表的描述没配置,17,,newcell1045,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060352,草过渡8,newcell1046,Varia表的描述没配置,17,,newcell1046,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060353,草过渡9,newcell1047,Varia表的描述没配置,17,,newcell1047,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060354,草过渡10,newcell1048,Varia表的描述没配置,17,,newcell1048,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060355,草过渡11,newcell1049,Varia表的描述没配置,17,,newcell1049,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060356,草过渡12,newcell1050,Varia表的描述没配置,17,,newcell1050,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060357,草过渡13,newcell1051,Varia表的描述没配置,17,,newcell1051,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060358,草过渡14,newcell1052,Varia表的描述没配置,17,,newcell1052,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060359,沙过渡1,newcell1053,Varia表的描述没配置,17,,newcell1053,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060360,沙过渡2,newcell1054,Varia表的描述没配置,17,,newcell1054,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060361,沙过渡3,newcell1055,Varia表的描述没配置,17,,newcell1055,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060362,沙过渡4,newcell1056,Varia表的描述没配置,17,,newcell1056,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060363,沙过渡5,newcell1057,Varia表的描述没配置,17,,newcell1057,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060364,沙过渡6,newcell1058,Varia表的描述没配置,17,,newcell1058,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060365,沙过渡7,newcell1059,Varia表的描述没配置,17,,newcell1059,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060366,沙过渡8,newcell1060,Varia表的描述没配置,17,,newcell1060,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060367,沙过渡9,newcell1061,Varia表的描述没配置,17,,newcell1061,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060368,沙过渡10,newcell1062,Varia表的描述没配置,17,,newcell1062,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060369,沙过渡11,newcell1063,Varia表的描述没配置,17,,newcell1063,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060370,沙过渡12,newcell1064,Varia表的描述没配置,17,,newcell1064,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060371,沙过渡13,newcell1065,Varia表的描述没配置,17,,newcell1065,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060372,沙过渡14,newcell1066,Varia表的描述没配置,17,,newcell1066,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060373,9合1草皮1,newcell1067,Varia表的描述没配置,17,,newcell1067,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060374,9合1草皮2,newcell1068,Varia表的描述没配置,17,,newcell1068,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060375,9合1草皮3,newcell1069,Varia表的描述没配置,17,,newcell1069,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060376,9合1草皮4,newcell1070,Varia表的描述没配置,17,,newcell1070,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060377,9合1草皮5,newcell1071,Varia表的描述没配置,17,,newcell1071,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060378,9合1草皮6,newcell1072,Varia表的描述没配置,17,,newcell1072,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060379,9合1草皮7,newcell1073,Varia表的描述没配置,17,,newcell1073,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060380,9合1草皮8,newcell1074,Varia表的描述没配置,17,,newcell1074,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060381,9合1草皮9,newcell1075,Varia表的描述没配置,17,,newcell1075,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060382,道路1,newcell1076,Varia表的描述没配置,17,,newcell1076,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060383,道路2,newcell1077,Varia表的描述没配置,17,,newcell1077,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060384,道路3,newcell1078,Varia表的描述没配置,17,,newcell1078,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060385,道路4,newcell1079,Varia表的描述没配置,17,,newcell1079,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060386,道路5,newcell1080,Varia表的描述没配置,17,,newcell1080,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060387,道路6,newcell1081,Varia表的描述没配置,17,,newcell1081,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060388,道路7,newcell1082,Varia表的描述没配置,17,,newcell1082,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060389,道路8,newcell1083,Varia表的描述没配置,17,,newcell1083,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060390,道路9,newcell1084,Varia表的描述没配置,17,,newcell1084,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060391,道路10,newcell1085,Varia表的描述没配置,17,,newcell1085,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060392,道路11,newcell1086,Varia表的描述没配置,17,,newcell1086,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060393,道路12,newcell1087,Varia表的描述没配置,17,,newcell1087,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060394,道路13,newcell1088,Varia表的描述没配置,17,,newcell1088,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060395,道路14,newcell1089,Varia表的描述没配置,17,,newcell1089,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060396,道路15,newcell1090,Varia表的描述没配置,17,,newcell1090,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060397,道路16,newcell1091,Varia表的描述没配置,17,,newcell1091,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060398,道路17,newcell1092,Varia表的描述没配置,17,,newcell1092,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060399,道路18,newcell1093,Varia表的描述没配置,17,,newcell1093,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060400,道路19,newcell1094,Varia表的描述没配置,17,,newcell1094,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060401,道路20,newcell1095,Varia表的描述没配置,17,,newcell1095,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,,1,,
4060402,水过渡1,newcell1096,Varia表的描述没配置,17,,newcell1096,,,,0,15,15,"1,1,15,15",0,0,0,,,,,8,,,,1,1,,
4060403,水过渡2,newcell1097,Varia表的描述没配置,17,,newcell1097,,,,0,15,15,"1,1,15,15",0,0,0,,,,,8,,,,1,1,,
4060404,水过渡3,newcell1098,Varia表的描述没配置,17,,newcell1098,,,,0,15,15,"1,1,15,15",0,0,0,,,,,8,,,,1,1,,
4060405,水过渡4,newcell1099,Varia表的描述没配置,17,,newcell1099,,,,0,15,15,"1,1,15,15",0,0,0,,,,,8,,,,1,1,,
4060406,水过渡5,newcell1100,Varia表的描述没配置,17,,newcell1100,,,,0,15,15,"1,1,15,15",0,0,0,,,,,8,,,,1,1,,
4060407,水过渡6,newcell1101,Varia表的描述没配置,17,,newcell1101,,,,0,15,15,"1,1,15,15",0,0,0,,,,,8,,,,1,1,,
4060408,水过渡7,newcell1102,Varia表的描述没配置,17,,newcell1102,,,,0,15,15,"1,1,15,15",0,0,0,,,,,8,,,,1,1,,
4060409,水过渡8,newcell1103,Varia表的描述没配置,17,,newcell1103,,,,0,15,15,"1,1,15,15",0,0,0,,,,,8,,,,1,1,,
4060410,水过渡9,newcell1104,Varia表的描述没配置,17,,newcell1104,,,,0,15,15,"1,1,15,15",0,0,0,,,,,8,,,,1,1,,
4060411,水过渡10,newcell1105,Varia表的描述没配置,17,,newcell1105,,,,0,15,15,"1,1,15,15",0,0,0,,,,,8,,,,1,1,,
4060412,水过渡11,newcell1106,Varia表的描述没配置,17,,newcell1106,,,,0,15,15,"1,1,15,15",0,0,0,,,,,8,,,,1,1,,
4060413,深色草,newcell1107,Varia表的描述没配置,8,,newcell1107,,1,1,0,15,15,"1,1,15,15",0,1,1,,,,,1,,,,0,1,,
4060414,深色草,newcell1108,Varia表的描述没配置,8,,newcell1108,,1,1,0,15,15,"1,1,15,15",0,1,1,,,,,1,,,,0,1,,
4060415,深色草,newcell1109,Varia表的描述没配置,8,,newcell1109,,1,1,0,15,15,"1,1,15,15",0,1,1,,,,,1,,,,0,1,,
4060416,深色草,newcell1110,Varia表的描述没配置,8,,newcell1110,,1,1,0,15,15,"1,1,15,15",0,1,1,,,,,1,,,,0,1,,
4060417,深色草,newcell1111,Varia表的描述没配置,8,,newcell1111,,1,1,0,15,15,"1,1,15,15",0,1,1,,,,,4,,,,0,1,,
4060418,烧焦地表1,newcell1112,烧焦地表1,17,,newcell1112,,,,0,15,,"1,1,15,-1",0,1,1,,,,,4,,,,0,1,,
4060419,烧焦地表2,newcell1113,烧焦地表2,17,,newcell1113,,,,0,15,,"1,1,15,-1",0,1,1,,,,,4,,,,0,1,,
4060420,烧焦地表3,newcell1114,烧焦地表3,17,,newcell1114,,,,0,15,,"1,1,15,-1",0,1,1,,,,,4,,,,0,1,,
4060421,烧焦地表4,newcell1115,烧焦地表4,17,,newcell1115,,,,0,15,,"1,1,15,-1",0,1,1,,,,,4,,,,0,1,,
4060422,烧焦地表5,newcell1116,烧焦地表5,17,,newcell1116,,,,0,15,,"1,1,15,-1",0,1,1,,,,,4,,,,0,1,,
4060423,烧焦地表6,newcell1117,烧焦地表6,17,,newcell1117,,,,0,15,,"1,1,15,-1",0,1,1,,,,,4,,,,0,1,,
4060424,烧焦地表7,newcell1118,烧焦地表7,17,,newcell1118,,,,0,15,,"1,1,15,-1",0,1,1,,,,,4,,,,0,1,,
4060425,烧焦地表8,newcell1119,烧焦地表8,17,,newcell1119,,,,0,15,,"1,1,15,-1",0,1,1,,,,,4,,,,0,1,,
4060426,烧焦地表9,newcell1120,烧焦地表9,17,,newcell1120,,,,0,15,,"1,1,15,-1",0,1,1,,,,,4,,,,0,1,,
4060427,烧焦地表10,newcell1121,烧焦地表10,17,,newcell1121,,,,0,15,,"1,1,15,-1",0,1,1,,,,,4,,,,0,1,,
4060428,烧焦地表11,newcell1122,烧焦地表11,17,,newcell1122,,,,0,15,,"1,1,15,-1",0,1,1,,,,,4,,,,0,1,,
4060429,烧焦地表12,newcell1123,烧焦地表12,17,,newcell1123,,,,0,15,,"1,1,15,-1",0,1,1,,,,,4,,,,0,1,,
4060430,烧焦地表13,newcell1124,烧焦地表13,17,,newcell1124,,,,0,15,,"1,1,15,-1",0,1,1,,,,,4,,,,0,1,,
4060431,烧焦地表14,newcell1125,烧焦地表14,17,,newcell1125,,,,0,15,,"1,1,15,-1",0,1,1,,,,,4,,,,0,1,,
4060432,大坑1,newcell1126,大坑1,17,,newcell1126,,,,0,"15,15;15,15",,"2,2,15,-1",0,1,1,,,,,4,,,,0,1,,
4060433,大坑2,newcell1127,大坑2,17,,newcell1127,,,,0,15,15,"1,1,15,15",0,1,1,,,,,4,,,,0,1,,
4070070,小草,object_0,Varia表的描述没配置,17,,object_0,,,,0,15,,"1,1,15,-1",0,2,0,,,,,0,,,,1,1,,
4070071,浮草,object_1,Varia表的描述没配置,17,,object_1,,,,0,15,,"1,1,15,-1",0,1,0,,,,,0,,,,1,1,,
4070072,小草,object_2,Varia表的描述没配置,17,,object_2,,,,0,15,,"1,1,15,-1",0,1,0,,,,,0,,,,1,1,,
4070073,叶子草,object_3,Varia表的描述没配置,5,,object_3,,1,1,0,15,15,"1,1,15,15",0,0,10,,,,,0,,,,1,1,,
4070074,小蘑菇,object_4,Varia表的描述没配置,5,,object_4,,1,1,0,15,15,"1,1,15,15",0,0,10,,,,,0,,,,1,1,,
4070075,小石头,object_5,Varia表的描述没配置,5,,object_5,,1,1,0,15,15,"1,1,15,15",0,0,10,,,,,0,,,,1,1,,
4070106,水井,ob_shuijing_1,Varia表的描述没配置,5,,ob_shuijing_1,,1,1,0,15,0,"1,1,15,0",0,0,0,,,,,0,,,,1,1,,
4070107,厚花岗岩墙,icob_wall_zhuzi_1,Varia表的描述没配置,5,,icob_wall_zhuzi_1,,170,170,0,15,0,"1,1,15,0",0,1,170,,,,,0,,,,1,1,,
4070200,厚大理岩墙,icob_wall_2,Varia表的描述没配置,5,,icob_wall_2,,170,170,0,15,0,"1,1,15,0",0,1,170,,,,,0,,,,1,1,,
4070201,厚石墙,icob_wall_3,Varia表的描述没配置,5,,icob_wall_3,,170,170,0,15,0,"1,1,15,0",0,1,170,,,,,0,,,,1,1,,
4070202,厚桦木墙,icob_wall_4,Varia表的描述没配置,5,,icob_wall_4,,170,170,0,15,0,"1,1,15,0",0,1,170,,,,,0,,,,1,1,,
4081001,草原场景装饰1,caoyuanobv1001,Varia表的描述没配置,17,,caoyuanobv1001,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081002,草原场景装饰2,caoyuanobv1002,Varia表的描述没配置,17,,caoyuanobv1002,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081003,草原场景装饰3,caoyuanobv1003,Varia表的描述没配置,17,,caoyuanobv1003,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081004,草原场景装饰4,caoyuanobv1004,Varia表的描述没配置,17,,caoyuanobv1004,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081005,草原场景装饰5,caoyuanobv1005,Varia表的描述没配置,17,,caoyuanobv1005,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081006,草原场景装饰6,caoyuanobv1006,Varia表的描述没配置,17,,caoyuanobv1006,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081007,草原场景装饰7,caoyuanobv1007,Varia表的描述没配置,17,,caoyuanobv1007,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081008,草原场景装饰8,caoyuanobv1008,Varia表的描述没配置,17,,caoyuanobv1008,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081009,草原场景装饰9,caoyuanobv1009,Varia表的描述没配置,17,,caoyuanobv1009,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081010,草原场景装饰10,caoyuanobv1010,Varia表的描述没配置,17,,caoyuanobv1010,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081011,草原场景装饰11,caoyuanobv1011,Varia表的描述没配置,17,,caoyuanobv1011,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081012,草原场景装饰12,caoyuanobv1012,Varia表的描述没配置,17,,caoyuanobv1012,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081013,草原场景装饰13,caoyuanobv1013,Varia表的描述没配置,17,,caoyuanobv1013,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081014,草原场景装饰14,caoyuanobv1014,Varia表的描述没配置,17,,caoyuanobv1014,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081015,草原场景装饰15,caoyuanobv1015,Varia表的描述没配置,17,,caoyuanobv1015,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081016,草原场景装饰16,caoyuanobv1016,Varia表的描述没配置,17,,caoyuanobv1016,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081017,草原场景装饰17,caoyuanobv1017,Varia表的描述没配置,17,,caoyuanobv1017,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081018,草原场景装饰18,caoyuanobv1018,Varia表的描述没配置,17,,caoyuanobv1018,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081019,草原场景装饰19,caoyuanobv1019,Varia表的描述没配置,17,,caoyuanobv1019,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081020,草原场景装饰20,caoyuanobv1020,Varia表的描述没配置,17,,caoyuanobv1020,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081021,草原场景装饰21,caoyuanobv1021,Varia表的描述没配置,17,,caoyuanobv1021,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081022,草原场景装饰22,caoyuanobv1022,Varia表的描述没配置,17,,caoyuanobv1022,,,,0,15,,"1,1,15,-1",0,2,0,,,,,,,,,1,,,
4081023,草原场景装饰23,caoyuanobv1023,Varia表的描述没配置,17,,caoyuanobv1023,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081024,草原场景装饰24,caoyuanobv1024,Varia表的描述没配置,17,,caoyuanobv1024,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081025,草原场景装饰25,caoyuanobv1025,Varia表的描述没配置,17,,caoyuanobv1025,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081026,草原场景装饰26,caoyuanobv1026,Varia表的描述没配置,17,,caoyuanobv1026,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081027,草原场景装饰27,caoyuanobv1027,Varia表的描述没配置,17,,caoyuanobv1027,,,,0,15,,"1,1,15,-1",0,1,0,,,,,,,,,1,,,
4081028,草原场景装饰28,caoyuanobv1028,Varia表的描述没配置,17,,caoyuanobv1028,,,,0,15,,"1,1,15,-1",0,0,0,,,,,,,,,1,,,
4081029,草原场景装饰29,caoyuanobv1029,Varia表的描述没配置,5,,caoyuanobv1029,,76,76,0,"15,15;15,15","15,0;0,0;","2,2,15,15",0,0,76,,,,,,,,,1,,,
4081030,草原场景装饰30,caoyuanobv1030,Varia表的描述没配置,5,,caoyuanobv1030,,192,192,0,"15,15;15,15","0,0;0,0","2,2,15,0",0,0,192,,,,,,,,,1,,,
4081031,草原场景装饰31,caoyuanobv1031,Varia表的描述没配置,5,,caoyuanobv1031,,188,188,0,"15,15;15,15","0,0;0,0","2,2,15,0",0,0,188,,,,,,,,,1,,,
4081032,草原场景装饰32,caoyuanobv1032,Varia表的描述没配置,5,,caoyuanobv1032,,86,86,0,"15,15;15,15","0,0;0,0","2,2,15,0",0,0,86,,,,,,,,,1,,,
4081033,草原场景装饰33,caoyuanobv1033,Varia表的描述没配置,17,,caoyuanobv1033,,,,0,15,,"1,1,15,-1",0,1,0,,,,,3,,,,1,,,
4081034,草原场景装饰34,caoyuanobv1034,Varia表的描述没配置,17,,caoyuanobv1034,,,,0,15,,"1,1,15,-1",0,1,0,,,,,3,,,,1,,,
4081035,草原场景装饰35,caoyuanobv1035,Varia表的描述没配置,17,,caoyuanobv1035,,,,0,15,,"1,1,15,-1",0,1,0,,,,,1,,,,1,,,
4081036,草原场景装饰36,caoyuanobv1036,Varia表的描述没配置,5,,caoyuanobv1036,,210,210,0,"15,15;15,15","0,0;0,0","2,2,15,0",0,0,210,,,,,,,,,1,,,
4081037,草原场景装饰37,caoyuanobv1037,Varia表的描述没配置,5,,caoyuanobv1037,,98,98,0,"15,15;15,15","0,0;0,0","2,2,15,0",0,0,98,,,,,,,,,1,,,
4081038,草原场景装饰38,caoyuanobv1038,Varia表的描述没配置,17,,caoyuanobv1038,,,,0,15,,"1,1,15,-1",0,2,0,,,,,,,,,1,,,
4081039,草原场景装饰39,caoyuanobv1039,Varia表的描述没配置,17,,caoyuanobv1039,,,,0,15,,"1,1,15,-1",0,2,0,,,,,,,,,1,,,
4081040,草原场景装饰40,caoyuanobv1040,Varia表的描述没配置,17,,caoyuanobv1040,,,,0,15,,"1,1,15,-1",0,2,0,,,,,,,,,1,,,
4081041,草原场景装饰41,caoyuanobv1041,Varia表的描述没配置,5,,caoyuanobv1041,,110,110,0,"15,15;15,15","0,0;0,0","2,2,15,0",0,0,110,,,,,,,,,1,,,
4081042,草原场景装饰42,caoyuanobv1042,Varia表的描述没配置,5,,caoyuanobv1042,,40,40,0,15,0,"1,1,15,0",0,0,40,,,,,,,,,1,,,
4081043,草原场景装饰43,caoyuanobv1043,Varia表的描述没配置,5,,caoyuanobv1043,,171,171,0,"15,15,15,15;15,15,15,15;15,15,15,15;15,15,15,15","0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0","4,4,15,0",0,0,171,,,,,,,,,1,,,
4081044,草原场景装饰44,caoyuanobv1044,Varia表的描述没配置,5,,caoyuanobv1044,,80,80,0,"15,15;15,15","0,0;0,0","2,2,15,0",0,0,80,,,,,,,,,1,,,
4081045,草原场景装饰45,caoyuanobv1045,Varia表的描述没配置,17,,caoyuanobv1045,,,,0,15,,"1,1,15,-1",0,1,0,,,,,4,,,,1,,,
4081046,草原场景装饰46,caoyuanobv1046,Varia表的描述没配置,17,,caoyuanobv1046,,,,0,15,,"1,1,15,-1",0,1,0,,,,,4,,,,1,,,
4081047,草原场景装饰47,caoyuanobv1047,Varia表的描述没配置,17,,caoyuanobv1047,,,,0,15,,"1,1,15,-1",0,1,0,,,,,4,,,,1,,,
