ID,受击物件类型,对应ID,对应名称,触发范围,发现气泡,气泡0,气泡1,气泡2,气泡3,气泡4,概率,怪物残血气泡,怪物死亡气泡,玩家残血气泡,怪物嘲讽气泡,进阶等级,气泡上限,气泡冷却,受击表情资源,受击表情播放时间（毫秒）
100054,Monster,1000053,数学羊,0,,你是公主派来抓我的吗？,你怎么知道我是火人部落的王子。,就因为我还和以前一样热爱数学吗？,我不会回去的，我们缘分已尽了，现在我只想研究数学。,这是一个很好的方程式：r = 1 -sinθ,100,希望下辈子我们能是同族。,我会在重生的数据流中遇见你吗？,被只羊怼了，好丢脸。,不是一只普通的羊哦，是数学羊。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
200001,Object,3095005,白桦,0,,砍了我能掉点木材给你。,我的树干可以成为你遮风避雨的港湾，这让我感到幸福。,我要变得有用了吗？,你说我要是能感觉到痛怎么办？,刀斧加身，不惧反喜，说的就是我啊。,80,即将化为材料。,拿去用吧，不用谢我。,,,,0,5000,,
200002,Object,3095001,常青树,0,,爱护树木，人人有责，何况我还是棵大树。,别打我，我会变成树妖的，你怕不怕。,别打我了。,再大又有什么用，没有反击的手段就保护不了自己。,,100,我就要倒下了。,愿我的木材不被浪费。,,,,15,7000,,
300001,NPC,10131,法尔(成就芯),240,,我若没有成就，就没有人会爱我。,我爱诉说自己成就，逃避失败，按着长远目标过活。,我有一点点的自恋、自我膨胀。,我讨厌亲密，不想让别人了解自己太多。,其实没有谁能十全十美。,80,,,,,,0,30000,,
300002,NPC,10120,法尔(活泼芯),240,,呀呀，客人，你好呀。,呀呀，法尔好开心。,呀呀，我想吃大米饭了。,呀呀，你知道吗？我喜欢每一个人。,呀呀，我想去玩，去看看美丽的世界。,100,,,,,,5,30000,,
300003,NPC,10174,宝箱哥哥,240,,嘿，看到了吗？这有个宝箱呢。,哈喽，宝箱找你有事情啊。,朋友，等一等，我需要你的帮助。,嘿，看到了吗？这有个宝箱呢。,嘿，看到了吗？这有个宝箱呢。,100,,,,,,5,30000,,
300004,NPC,10175,麦浪稻草人,240,,我真是个悲惨的稻草人啊，谁来拯救我一下吧。,我真是个悲惨的稻草人啊，谁来拯救我一下吧。,我真是个悲惨的稻草人啊，谁来拯救我一下吧。,我真是个悲惨的稻草人啊，谁来拯救我一下吧。,我真是个悲惨的稻草人啊，谁来拯救我一下吧。,100,,,,,,5,30000,,
300005,NPC,10172,青草弟弟,240,,快来帮帮我吧，阳光都快没有啦。,快来帮帮我吧，阳光都快没有啦。,快来帮帮我吧，阳光都快没有啦。,快来帮帮我吧，阳光都快没有啦。,快来帮帮我吧，阳光都快没有啦。,100,,,,,,5,30000,,
300006,NPC,10173,大树爸爸,240,,我觉得我需要帮助，我的营养都被小偷偷走啦。,我觉得我需要帮助，我的营养都被小偷偷走啦。,我觉得我需要帮助，我的营养都被小偷偷走啦。,我觉得我需要帮助，我的营养都被小偷偷走啦。,我觉得我需要帮助，我的营养都被小偷偷走啦。,100,,,,,,5,30000,,
300007,NPC,10123,法尔(忠诚芯),240,,我若不顺从，就没有人会爱我。,忧虑会阻碍我前行！留意留意！,我会非常尽责的为您提供石碑的消息的。,,,100,,,,,,0,30000,,
300008,NPC,10126,法尔(领袖芯),240,,我若没有权力，就没有人会爱我。,爱命令，说话大声、有威严，报复心理、爱辩论，靠意志来掌管生活。,,,,100,,,,,,0,30000,,
300009,NPC,10129,法尔(和平芯),240,,希望世界和平，没有争端。,不断的斗争毫无意义，合作才能共赢。,重要的是怎么实现欲望与资源的良性循环。,我这个人很爱交朋友，你愿不愿意和我做朋友呢？,什么时候，任何人之前都能实现完全的信任呢？应该不可能吧。,100,,,,,,0,30000,,
300010,NPC,10134,法尔(助人芯),240,,我若不帮助人，就没有人会爱我。,请随时找我帮忙。,,,,100,,,,,,0,30000,,
300011,NPC,10137,法尔(完美芯),240,,我若不完美，就没有人会爱我。,perfect真的很重要。,嗯，我觉得我还不错。,,,100,,,,,,0,30000,,
300012,NPC,10138,法尔(智慧芯),240,,我若没有知识，就没有人会爱我。,知识就是力量。,学习永无止境！,,,100,,,,,,0,30000,,
300013,NPC,10140,法尔(艺术芯),240,,我若不是独特的，就没有人会爱我。,我觉得我独一无二，至少在思想上是的。,,,,100,,,,,,0,30000,,
300014,NPC,,,,,,,,,,,,,,,,,,,
300015,,,,,,,,,,,,,,,,,,,,
