f,代码块描述,是否可以生产pb,函数调用名称1,调用名称,单位,单位消耗,类别,是否是默认代码块,类型 ,代码块权限,关联数据结构,提示图标,模板,可隐藏结构,参数1,参数2,参数3,参数4,参数5,参数6,参数7,参数8,参数9,参数10,参数11,参数12,参数13,参数14,参数15,参数16,参数17,参数18,参数19,参数20,参数21,参数22,参数23,参数24,参数25,模板2,代码块排序,是否能在公共区域使用
10172,替换列表的某一项,,,,,,list,1,block,2,,,替换%%{1}第%%{2}项为%%{3},,list,"input;1;数字,1,-99999999,99999999;1000","input;2;元素,1;1000",,,,,,,,,,,,,,,,,,,,,,,,5,1
10173,复制列表到另一个列表,,,,,,list,1,block,2,,,复制%%{1}到%%{2},,list,list,,,,,,,,,,,,,,,,,,,,,,,,,6,1
10174,查询列表的某一项元素,,,,,,list,1,value,2,,,%%{1}第%%{2}项,,list,"input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,8,1
10175,查询列表的长度,,,,,,list,1,value,2,,,%%{1}的长度,,list,,,,,,,,,,,,,,,,,,,,,,,,,,9,1
10176,查询列表某一个元素的位置,,,,,,list,1,value,2,,,%%{1}中第一个%%{2}的位置,,list,"input;2;元素,1;1000",,,,,,,,,,,,,,,,,,,,,,,,,10,1
10177,列表中是否包含某一项,,,,,,list,1,boolean,2,,,%%{1}中包含%%{2},,list,"input;2;元素,1;1000",,,,,,,,,,,,,,,,,,,,,,,,,11,1
10178,文字转声音代码块,,,,,,function,1,block,,,,将文本%%{1}转化为%%{2}语音,,input;2;请输入文本;400,"dropdown;1;小燕,许久,小萍,小婧,许小宝,芳芳,楠楠,七哥;;3,4,5,6,7,0,1,2",,,,,,,,,,,,,,,,,,,,,,,,,,1
10179,mabo驱动球启动,,,,,,function,,block,,,,驱动球%%{1}，%%{2}旋转，速度%%{3}转/分，持续%%{4}秒,,"input;1;数字,1,1,15;1000","dropdown;1;顺时针,逆时针","input;1;数字,1,1,100;1000","input;1;数字,1,0,3600;1000",,,,,,,,,,,,,,,,,,,,,,,,1
10180,mabo驱动球停止,,,,,,function,,block,,,,驱动球%%{1}立即停止,,"input;1;数字,1,1,15;1000",,,,,,,,,,,,,,,,,,,,,,,,,,,1
10181,mabo灯控制,,,,,,function,,block,,,,设置%%{1}灯光颜色为%%{2}模式为%%{3},,"input;1;数字,1,0,2;1000","dropdown;1;红,绿,黄,蓝,紫,青,橙,白","dropdown;1;常亮,闪烁,呼吸",,,,,,,,,,,,,,,,,,,,,,,,,1
10182,mabo灯关闭,,,,,,function,,block,,,,%%{1}灯光关闭,,"input;1;数字,1,0,2;1000",,,,,,,,,,,,,,,,,,,,,,,,,,,1
10183,bebo体感代码块,,,,,,event,,block,,,,对着bebo划%%{1},,"dropdown;1;√,O",,,,,,,,,,,,,,,,,,,,,,,,,,,1
10184,当实体播放到第X个动画,是,,,,,event,,block,,,,当%%{1}播放到第%%{2}个动画时,,"dropdown;2;5,18;800",dropdown;5;1;100,,,,,,,,,,,,,,,,,,,,,,,,,,1
10185,下一个动画,是,,,,,function,1,block,2,,,下一个动画,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10186,切换到第X个动画,是,,,,,function,1,block,2,,,切换到第%%{1}动画,,dropdown;5;;100,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10187,检测代码块-动画判断,是,,,,,detect,1,boolean,2,,,%%{1}播放到第%%{2}个动画,,blank;;2;800,dropdown;5;1;100,,,,,,,,,,,,,,,,,,,,,,,,,800,1
10188,跳转到网页代码块,,,,,,function,1,block,2,,,给%%{1}弹出网页%%{2}，%%{3},,blank;;2;800,input;2;请输入网址,"dropdown;1;窗口化,网页全屏,桌面全屏,浏览器打开",,,,,,,,,,,,,,,,,,,,,,,,1110,1
10189,运算,是,,,个,,operator,1,value,2,,,%%{1} %%{2} %%{3},,"input;1;数字,1,-99999999,99999999;1000","dropdown;1;+,-,×,÷,^","input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,1300,1
10190,大于小于等于,,,,,,operator,1,boolean,2,,,%%{1} %%{2} %%{3},,"input;1;数字,1,-99999999,99999999;1000","dropdown;1;＞,＜,≥,≤,＝,≠","input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,1400,1
10191,让玩家跳转到下一个关卡,,,,,,function,,block,,,,让%%{1}跳转到下一个关卡,,blank;10126;2;800,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10192,当按下键盘键时,,,,,,event,1,block,,,,当%%{1}按下按键%%{2}时,,output;10095;玩家,"dropdown;1;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,↑,↓,←,→,空格,回车,任意;;7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,1,2,3,4,0,5,6",,,,,,,,,,,,,,,,,,,,,,,,,1100,1
10193,设置玩家的属性值,,,,,,function,1,block,,,,把%%{1}的%%{2}赋值为%%{3},,blank;;2;800,"dropdown;1;自定义值1,自定义值2,自定义值3,自定义值4,自定义值5,自定义值6,自定义值7,自定义值8,自定义值9,自定义值10,课程积分","input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,1
10194,当玩家进入房间时,,,,,,event,1,block,2,,,当%%{1}进入地图时,,output;10095;玩家,,,,,,,,,,,,,,,,,,,,,,,,,,300,1
10195,当玩家使用/拾取/丢弃物件时,,,,,,event,1,block,,,,当%%{1} %%{2} 任意%%{3}时,,output;10095;触发者,"dropdown;1;使用,拾取,丢弃",output;10601;物品,,,,,,,,,,,,,,,,,,,,,,,,,1
10196,给玩家添加几个道具,,,,,,function,1,block,,,,给%%{1}添加%%{2}个%%{3},,blank;;2;800,"input;1;数字,1,0,999;1000",blank;;3;700,,,,,,,,,,,,,,,,,,,,,,,,,1
10197,销毁玩家所有道具,,,,,,function,1,block,,,,销毁%%{1}身上所有物件,,blank;;2;800,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10198,销毁玩家几个道具,,,,,,function,1,block,,,,销毁%%{1}身上%%{2}个%%{3},,blank;;2;800,"input;1;数字,1,0,999;1000",blank;;3;700,,,,,,,,,,,,,,,,,,,,,,,,,1
10199,在坐标生成一个物件,,,,,,function,1,block,,,,在%%{1}生成一个%%{2},,blank;10129;1;500,blank;;3;700,,,,,,,,,,,,,,,,,,,,,,,,,,1
10200,触发者身上拥有物件的数量,,,,,,detect,1,value,,,,%%{1}身上拥有%%{2}的数量,,blank;;2;800,blank;;3;700,,,,,,,,,,,,,,,,,,,,,,,,,500,1
10201,类型是不是什么类型,,,,,,detect,1,boolean,,,,%%{1}是%%{2},,blank;;3;700,blank;10244;3;700,,,,,,,,,,,,,,,,,,,,,,,,,1100,1
10202,下一个动画,是,,,,,function,,block,,,,下一个动画,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1
10203,切换到第X个动画,是,,,,,function,,block,,,,切换到第%%{1}个动画,,dropdown;3;;100,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1
10204,检测代码块-动画判断,是,,,,,detect,,boolean,,,,%%{1}播放到第%%{2}个动画,,"dropdown;2;5,18;800",dropdown;3;1;100,,,,,,,,,,,,,,,,,,,,,,,,,800,1
10205,实体传送代码块,,,,,,move,,block,,,,将%%{1}传送至%%{2},,blank;10126;2;800,blank;10129;1;500,,,,,,,,,,,,,,,,,,,,,,,,,,1
10206,生物移动到什么位置,,,,,,move,,block,,,,让%%{1}以%%{2}速度移动到%%{3},,blank;;2;800,"input;1;数字,1,-99999999,99999999;1000",blank;10129;1;500,,,,,,,,,,,,,,,,,,,,,,,,,1
10207,让【生物】以X速度移动X步,,,,,,move,,block,,,,让%%{1}以%%{2}速度移动%%{3}步,,blank;10126;2;800,"input;1;数字,1,-99999999,99999999;1000","input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,1
10208,让【生物】旋转XX度,,,,,,move,,block,,,,让%%{1}旋转%%{2}度,,blank;10126;2;800,"input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
10209,让【生物】面向XX度,,,,,,move,,block,,,,让%%{1}面向%%{2}度,,blank;10126;2;800,"input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
10210,相对于什么的XY坐标,,,,,,move,,value,,,,相对于%%{1}的%%{2}X:%%{3}Y:%%{4},,blank;10126;2;800,"dropdown;1;自然坐标,场景坐标;;1,0","input;1;像素,1,-99999999,99999999;100","input;1;像素,1,-99999999,99999999;100",,,,,,,,,,,,,,,,,,,,,,,650,1
10211,属性下拉框,,,,,,detect,1,value,,,,%%{1}的%%{2},,"dropdown;2;5,18;800","dropdown;1;R坐标,C坐标,X坐标,Y坐标,名字,等级,血量,攻击,防御,闪避,暴击,移动速度,燃料值,场景角度,自然角度,类型",,,,,,,,,,,,,,,,,,,,,,,,,300,1
10212,在坐标生成一个实体,,,,,,function,,block,,,,在%%{1}生成一个%%{2},,blank;10129;1;500,blank;10020;3;700,,,,,,,,,,,,,,,,,,,,,,,,,,1
10213,实体是不是克隆体,,,,,,detect,1,boolean,2,,,%%{1}是克隆体,,blank;;2;800,,,,,,,,,,,,,,,,,,,,,,,,,,600,1
10214,实体是不是什么类型,,,,,,detect,1,boolean,2,,,%%{1}属于%%{2},,blank;;2;800,blank;10244;3;700,,,,,,,,,,,,,,,,,,,,,,,,,1000,1
10215,让【实体】的操作生效/无效,,,,,,function,,block,,,,让%%{1}的%%{2},,blank;10126;2;800,"dropdown;1;操作生效,操作失效",,,,,,,,,,,,,,,,,,,,,,,,,,1
10216,让【实体】切换到下一个动画,,,,,,function,,block,,,,让%%{1}切换到下一个动画,,blank;10126;2;800,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10217,让【实体】显示/隐藏,,,,,,function,,block,,,,让%%{1} %%{2},,blank;10126;2;800,"dropdown;1;显示,隐藏",,,,,,,,,,,,,,,,,,,,,,,,,,1
10218,让【实体】克隆自己,,,,,,function,,block,,,,让%%{1}克隆自己,,blank;10126;2;800,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10219,让【实体】删除自己,,,,,,function,,block,,,,让%%{1}删除自己,,blank;10126;2;800,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10220,让【实体】播放音乐，可打断（是/否）,,,,,,function,,block,,,,让%%{1}播放%%{2} %%{3},,blank;10126;2;800,dropdown;4,"dropdown;1;可打断,不可打断",,,,,,,,,,,,,,,,,,,,,,,,,1
10221,对【触发者】弹出结算面板,,,,,,function,,block,,,,对%%{1}弹出结算面板,,blank;10126;2;800,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10222,让【实体】显示标识,,,,,,function,,block,,,,让%%{1} %%{2} %%{3},,blank;10126;2;800,"dropdown;1;显示,隐藏","dropdown;1;标识,箭头,手指,叹号,问号",,,,,,,,,,,,,,,,,,,,,,,,,1
10223,当【触发者】操作任意【实体】时,,,,,,event,,block,,,,当%%{1}操作任意%%{2}时,,output;10095;触发者,output;10095;实体,,,,,,,,,,,,,,,,,,,,,,,,,,1
10224,当【触发者】建造任意【实体】时,,,,,,event,,block,,,,当%%{1}建造任意%%{2}时,,output;10095;触发者,output;10095;实体,,,,,,,,,,,,,,,,,,,,,,,,,,1
10225,当【触发者】点击任意【实体】时,,,,,,event,,block,,,,当%%{1}点击任意%%{2}时,,output;10095;触发者,output;10095;实体,,,,,,,,,,,,,,,,,,,,,,,,,,1
10226,玩家的属性,是,,,个,,detect,1,value,,,,%%{1}的%%{2},,blank;;2;800,"dropdown;1;自定义值1,自定义值2,自定义值3,自定义值4,自定义值5,自定义值6,自定义值7,自定义值8,自定义值9,自定义值10,课程积分",,,,,,,,,,,,,,,,,,,,,,,,,400,1
10227,创建面板,,,,,,userInterface,1,block,,,,对%%{1}创建%%{2}，行数为%%{3}，列数为%%{4}，底板样式为%%{5},,blank;;2;800,output;10239;自定义面板,"input;1;数字,1,1,100;1000","input;1;数字,1,1,100;1000","dropdown;1;普通,从左向右渐变,从右向左渐变,中间向两侧渐变",,,,,,,,,,,,,,,,,,,,,,100,1
10228,设置底板样式,,,,,,userInterface,1,block,,,,设置%%{1}的样式为%%{2}，底板颜色为R%%{3}G%%{4}B%%{5} ，透明度%%{6},,blank;;6;1100,"dropdown;1;普通,从左向右渐变,从右向左渐变,中间向两侧渐变","input;1;数字,1,0,255;100","input;1;数字,1,0,255;100","input;1;数字,1,0,255;100","input;1;数字,1,0,100;100",,,,,,,,,,,,,,,,,,,,,200,1
10229,设置面板标题样式,,,,,,userInterface,1,block,,,,设置%%{1}的标题为%%{2}，可折叠为%%{3}，行高为%%{4},,blank;;6;1100,input;2;请输入标题;,"dropdown;1;是,否;","input;1;数字,1,0,2000;100",,,,,,,,,,,,,,,,,,,,,,,800,1
10230,设置格子文本,,,,,,userInterface,1,block,,,,设置%%{1}第%%{2}行第%%{3}列文字为%%{4}，对齐方式为%%{5},,blank;;6;1100,"input;1;数字,1,0,2000;100","input;1;数字,1,0,2000;100",input;2;请输入内容;,"dropdown;1;向左对齐,向右对齐,居中对齐;",,,,,,,,,,,,,,,,,,,,,,1000,1
10231,设置格子图片,,,,,,userInterface,1,block,,,,设置%%{1}第%%{2}行第%%{3}列图片为%%{4}，大小为（%%{5}）%,,blank;;6;1100,"input;1;数字,1,0,255;100","input;1;数字,1,0,255;100","prop;Entity;1,2,3,4,8,9,99","input;1;数字,100,100,1000;100",,,,,,,,,,,,,,,,,,,,,,1100,1
10232,设置格子行高,,,,,,userInterface,1,block,,,,设置%%{1}的所有行高为%%{2},,blank;;6;1100,"input;1;数字,1,0,2000;100",,,,,,,,,,,,,,,,,,,,,,,,,400,1
10233,设置格子宽,,,,,,userInterface,1,block,,,,设置%%{1}的所有列宽为%%{2},,blank;;6;1100,"input;1;数字,1,0,2000;100",,,,,,,,,,,,,,,,,,,,,,,,,500,1
10234,设置某行行高,,,,,,userInterface,1,block,,,,设置%%{1}的第%%{2}行行高为%%{3},,blank;;6;1100,"input;1;数字,1,0,255;100","input;1;数字,1,0,2000;100",,,,,,,,,,,,,,,,,,,,,,,,600,1
10235,设置某列列宽,,,,,,userInterface,1,block,,,,设置%%{1}的第%%{2}列列宽为%%{3},,blank;;6;1100,"input;1;数字,1,0,255;100","input;1;数字,1,0,2000;100",,,,,,,,,,,,,,,,,,,,,,,,700,1
10236,设置面板位置,,,,,,userInterface,1,block,,,,设置%%{1}的锚点为%%{2}，水平离边缘%%{3}像素，垂直离边缘%%{4}像素,,blank;;6;1100,"dropdown;1;左上,中上,右上,左中,中,右中,左下,中下,右下","input;1;数字,1,0,2000;100","input;1;数字,1,0,2000;100",,,,,,,,,,,,,,,,,,,,,,,300,1
10237,设置面板隐藏,,,,,,userInterface,1,block,,,,设置%%{1}的状态为%%{2},,blank;;6;1100,"dropdown;1;显示,隐藏;",,,,,,,,,,,,,,,,,,,,,,,,,1300,1
10238,销毁面板,,,,,,userInterface,1,block,,,,销毁%%{1},,blank;;6;1100,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1
10239,返回面板,是,,,,,return,,value,,,entity,回调2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10240,设置标题样式,,,,,,userInterface,1,block,,,,设置%%{1}的标题颜色为R%%{2}G%%{3}B%%{4}，透明度%%{5},,blank;;6;1100,"input;1;数字,1,0,255;100","input;1;数字,1,0,255;100","input;1;数字,1,0,255;100","input;1;数字,1,0,100;100",,,,,,,,,,,,,,,,,,,,,,900,1
10241,实体移动,,,,,,move,1,block,2,,,在%%{1}秒以内向%%{2}移动%%{3}格,,"input;1;数字,1,1,1000;1000","dropdown;1;上,右上,右,右下,下,左下,左,左上","input;1;数字,1,1,1000;1000",,,,,,,,,,,,,,,,,,,,,,,,900,1
10242,碰撞事件,,,,,,event,1,block,2,,,当%%{1}与%%{2}发生碰撞,,output;10095;触发者,blank;10125;2;800,,,,,,,,,,,,,,,,,,,,,,,,,1000,1
10243,当玩家使丢弃物件时,,,,,,event,,block,,,,当%%{1}丢弃任意%%{2}时,,output;10095;触发者,output;10095;物品,,,,,,,,,,,,,,,,,,,,,,,,,,1
10244,物件类,是,,,个,,prop,1,blank,,,class,物件 %%{1},,"prop;Entity;1,2,3,4,9,8,99",,,,,,,,,,,,,,,,,,,,,,,,,,600,1
10245,道具类,是,,,个,,prop,1,blank,,,class,道具 %%{1},,"prop;Item;5,6,7,9,8",,,,,,,,,,,,,,,,,,,,,,,,,,700,1
10246,单位时间移动到XX坐标代码块,,,,,,move,1,block,2,,,在%%{1}秒内移动到%%{2},,"input;1;时间,10,1,99999999;100",blank;10129;1;500,,,,,,,,,,,,,,,,,,,,,,,,,1000,1
10247,单位时间移动多少像素代码块,,,,,,internal,,block,,,,在%%{1}秒内移动%%{2}像素,,"input;1;时间,10,1,99999999;100","input;1;像素,100,-9999,9999;100",,,,,,,,,,,,,,,,,,,,,,,,,,1
10248,代表主角类的代码块,,,,,,prop,1,value,,,class,主角,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,1
10249,清空列表代码块,,,,,,list,1,block,2,,,清空%%{1}所有项,,list,,,,,,,,,,,,,,,,,,,,,,,,,,7,1
10250,切换表情代码块,,,,,,internal,1,block,,,,切换到%%{1}表情,,dropdown;12;1;100,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10251,检测表情代码块,,,,,,internal,1,boolean,,,,%%{1}播放到第%%{2}个表情,,blank;;2;800,dropdown;12;1;100,,,,,,,,,,,,,,,,,,,,,,,,,,1
10252,true or false,,,,,,detect,,boolean,,,,%%{1},,"dropdown;1;true,false",,,,,,,,,,,,,,,,,,,,,,,,,,,1
10253,定义布尔型返回值,,,,,,diyfunction,,block,,,,返回%%{1},,boolean;10252,,,,,,,,,,,,,,,,,,,,,,,,,,500,1
10254,函数布尔型返回值,,,,,,diyfunction,,boolean,2,,,%%{1},,blank;,,,,,,,,,,,,,,,,,,,,,,,,,,600,1
10300,设置属性开关代码块,,,,,,function,1,block,2,,,%%{1}%%{2}的%%{3}属性,,"dropdown;1;开启,关闭",blank;10125;2;800,"dropdown;1;点击,操作,拖动,举起,破坏",,,,,,,,,,,,,,,,,,,,,,,,,1
10499,自定义事件,,,,,,event,,block,,,,自定义事件%%{1},,defineevent;,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10500,自定义事件-操作,,,,,,customeizeevent,,block,,,,当%%{1}被%%{2}操作时,,"dropdown;1;具体实体,某类实体,所有实体","dropdown;1;具体实体,某类实体,所有实体",,,,,,,,,,,,,,,,,,,,,,,,,,1
10501,自定义事件-提交,,,,,,customeizeevent,,block,,,,当%%{1}提交%%{2}的%%{3}时,,"dropdown;1;具体实体,某类实体,所有实体","dropdown;1;具体问题,所有问题","dropdown;1;答案,选项",,,,,,,,,,,,,,,,,,,,,,,,,1
10502,自定义事件-位置,,,,,,customeizeevent,,block,,,,当%%{1}坐标改变时,,"dropdown;1;具体实体,某类实体,所有实体",,,,,,,,,,,,,,,,,,,,,,,,,,,1
10503,自定义事件-建造,,,,,,customeizeevent,,block,,,,当%%{1}建造%%{2}时,,"dropdown;1;具体实体,某类实体,所有实体","dropdown;1;具体实体,某类实体,所有实体",,,,,,,,,,,,,,,,,,,,,,,,,,1
10504,自定义事件-点击,,,,,,customeizeevent,,block,,,,当%%{1}点击%%{2}时,,"dropdown;1;具体实体,某类实体,所有实体","dropdown;1;具体实体,某类实体,所有实体",,,,,,,,,,,,,,,,,,,,,,,,,,1
10505,自定义事件-移动,,,,,,customeizeevent,,block,,,,当%%{1}%%{2}%%{3}时,,"dropdown;1;具体实体,某类实体,所有实体","dropdown;1;移动到,离开",dropdown;1;具体实体,,,,,,,,,,,,,,,,,,,,,,,,,1
10506,自定义事件-进入房间,,,,,,customeizeevent,,block,,,,当%%{1}进入房间时,,"dropdown;1;具体实体,某类实体,所有实体",,,,,,,,,,,,,,,,,,,,,,,,,,,1
10507,自定义事件-物品,,,,,,customeizeevent,,block,,,,当%%{1}%%{2}任意%%{3}时,,"dropdown;1;具体实体,某类实体,所有实体","dropdown;1;使用,拾取,丢弃","dropdown;1;具体实体,某类实体,所有实体",,,,,,,,,,,,,,,,,,,,,,,,,1
10508,自定义事件-按键,,,,,,customeizeevent,,block,,,,当%%{1}按下按键时,,"dropdown;1;具体实体,某类实体,所有实体",,,,,,,,,,,,,,,,,,,,,,,,,,,1
10509,自定义事件-碰撞,,,,,,customeizeevent,,block,,,,当%%{1}与%%{2}发生碰撞,,"dropdown;1;具体实体,某类实体,所有实体","dropdown;1;具体实体,某类实体,所有实体",,,,,,,,,,,,,,,,,,,,,,,,,,1
10588,自定义事件-定义转格式需要,,,,,,customeizeevent,,block,,,,"%%{1},%%{2},%%{3}",,blank;10126;2;800,blank;;4;900,editevent,,,,,,,,,,,,,,,,,,,,,,,,,1
10599,自定义事件-定义转格式需要,,,,,,customeizeevent,,block,,,,"%%{1},%%{2},%%{3},%%{4},%%{5}",,output;10138;选项,output;10139;答案,output;10095;实体,output;10147;问答题,blank;;3;700,,,,,,,,,,,,,,,,,,,,,,,1
10600,entity的效果代码块,,,,,,function,1,block,2,,,设置实体的效果为%%{1},,"dropdown;1;无效果,挤压,蝴蝶,闪光,未来,发光强调,果冻效果",,,,,,,,,,,,,,,,,,,,,,,,,,,1
10601,返回值int32(实体类),,,,,,return,,value,,,class,回调1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10602,声音代码块,,,,,,function,,block,,,,播放声音%%{1},,dropdown;4,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10603,声音代码块（等待播放完毕）,,,,,,function,,block,,,,播放声音%%{1}直到结束,,dropdown;4,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10604,返回值函数参数型,是,,,,,return,,value,,,,回调3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10605,坐标上的实体,,,,,,prop,1,value,2,,entity,在%%{1}坐标上最新的实体,,blank;10129;1;500,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10606,坐标上是否有实体,,,,,,detect,1,boolean,2,,,%%{1}有实体,,blank;10129;1;500,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10700,弹出鲸幂关卡,,,,,,internal,1,block,,,,对%%{1}弹出%%{2}：%%{3}，%%{4}模式,,blank;;2;800,output;10703;鲸幂关卡,input;2;请输入鲸幂关卡json的url,"dropdown;1;jimmy,小段",,,,,,,,,,,,,,,,,,,,,,,,1
10701,对实体弹出关卡，关卡类型，关卡配置，【编辑】,,,,,,internal,,block,,,,对%%{1}弹出%%{2}，%%{3}，%%{4} %%{5},,blank;;2;800,output;10703;关卡组件,"dropdown;1;…,拼图关卡,测试关卡",dropdown;6;;;;1,editLevel,,,,,,,,,,,,,,,,,,,,,,,1
10702,当触发者完成关卡时,,,,,,event,,block,,,,当%%{1}完成%%{2}时，%%{3} %%{4},,output;10095;触发者,blank;;7;1200,output;10704;得分,output;10705;时长,,,,,,,,,,,,,,,,,,,,,,,,1
10703,关卡类型返回值,,,,,,return,,value,,,,关卡回调1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10704,关卡得分返回值,,,,,,return,,value,,,,关卡回调2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10705,关卡耗时返回值,,,,,,return,,value,,,,关卡回调3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10706,结束某人关卡，并提供星数,,,,,,function,1,block,,,,结束%%{1}关卡，%%{2}颗星,,blank;;2;800,"dropdown;1;1,2,3;100",,,,,,,,,,,,,,,,,,,,,,,,,1200,1
10707,将用户YY传送到XX关卡场景,,,,,,internal,1,block,,,,将%%{1}传送到%%{2},,blank;;2;800,dropdown;8,,,,,,,,,,,,,,,,,,,,,,,,,400,1
10708,用户YY是否已经通关场景XX,,,,,,internal,1,boolean,,,,%%{1}已经通关%%{2},,blank;;2;800,dropdown;8,,,,,,,,,,,,,,,,,,,,,,,,,200,1
10709,用户YY的XX积分是多少,,,,,,internal,1,value,,,,%%{1}的%%{2}积分,,blank;;2;800,dropdown;7,,,,,,,,,,,,,,,,,,,,,,,,,100,1
10710,对用户XX弹出声望界面,,,,,,internal,1,block,,,,对%%{1}弹出%%{2},,blank;;2;800,"dropdown;1;声望界面,模板创作界面,背包界面,教案界面,IDE界面地形模式,ide界面创作模式,ide界面属性模式,ide界面代码块模式",,,,,,,,,,,,,,,,,,,,,,,,,300,1
10711,当XX的克隆体被删除时,,,,,,event,1,block,,,,当%%{1}的克隆体被删除时,,blank;10125;2;800,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10712,弹出puzzle,,,,,,internal,1,block,,,,对%%{1}弹出puzzle%%{2}：%%{3},,blank;;2;800,output;10703;puzzle,input;2;请输入puzzle的id;300,,,,,,,,,,,,,,,,,,,,,,,,,1
10713,跑马灯公告,,,,,,internal,1,block,,,,显示公告：%%{1},,input;2;请输入公告内容;300,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10714,对实体进行快速编码,,,,,,internal,1,block,,,,让%%{1}对%%{2}快速编码,,blank;;2;800,blank;10126;2;800,,,,,,,,,,,,,,,,,,,,,,,,,,1
10715,分页控制代码块,,,,,,internal,1,block,,,,%%{1}，%%{2}代码块幕布分页,,"dropdown;1;显示,激活,隐藏,禁用",dropdown;9;1,,,,,,,,,,,,,,,,,,,,,,,,,,1
10716,老师类型代码块,,,,,,internal,1,value,,,class,老师,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10717,弹出对话代码块（弃用）,,,,,,function,,block,,,,对%%{1}弹出%%{2}，%%{3}，%%{4}，%%{5}，##%%{6}##选项%%{7},,blank;;2;800,output;10718;对话,"dropdown;1;普通对话,问答题,选择题","dropdown;1;屏幕对话,场景对话","dropdown;10;无配音,小燕,许久,小萍,小婧,许小宝,芳芳,楠楠,七哥;;0,4,5,6,7,8,1,2,3;6",input;2;请输入文本;300;;2,"input;2;选项;;1,4,",,,,,,,,,,,,,,,,,,,,,
10718,对话类型返回值,,,,,,return,,value,,,question,对话回调1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10719,对话答案类型返回值,,,,,,return,,value,,,,对话回调2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10720,当XX结束对话时,,,,,,event,1,block,2,,,当%%{1}结束%%{2}时 %%{3},,output;10095;玩家,blank;;8;1300,output;10719;答案,,,,,,,,,,,,,,,,,,,,,,,,750,1
10721,当触发者进入/离开区域时代码块,,,,,,event,1,block,,,,当%%{1}%%{2}%%{3}区域时,,output;10095;触发者,"dropdown;1;进入,离开",dropdown;11,,,,,,,,,,,,,,,,,,,,,,,,,1
10722,将角色传送到区域代码块,,,,,,internal,1,block,,,,将%%{1}传送到%%{2}区域,,blank;;2;800,dropdown;11,,,,,,,,,,,,,,,,,,,,,,,,,,1
10723,关闭某人所有对话代码块,,,,,,function,1,block,2,,,关闭%%{1}所有对话,,blank;;2;800,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10724,空值代码块,,,,,,operator,1,value,,,,空值,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
